NO,PROBABILIDADE
1,1.0
2,0.008
3,1.0
4,1.0
5,0.008
6,1.0
7,1.0
8,0.008
9,1.0
10,1.0
11,0.008
12,1.0
13,1.0
14,0.008
15,1.0
16,1.0
17,0.008
18,1.0
19,1.0
20,0.008
21,1.0
22,1.0
23,0.008
24,1.0
25,1.0
26,0.008
27,1.0
28,1.0
29,0.008
30,1.0
31,1.0
32,0.008
33,1.0
34,1.0
35,0.008
36,1.0
37,1.0
38,0.008
39,1.0
40,1.0
41,0.008
42,1.0
43,1.0
44,0.008
45,1.0
46,1.0
47,0.008
48,1.0
49,1.0
50,0.008
51,1.0
52,1.0
53,0.008
54,1.0
55,1.0
56,0.008
57,1.0
58,1.0
59,0.008
60,1.0
61,1.0
62,0.008
63,1.0
64,1.0
65,0.008
66,1.0
67,1.0
68,0.008
69,1.0
70,1.0
71,0.008
72,1.0
73,1.0
74,0.008
75,1.0
76,1.0
77,0.008
78,1.0
79,1.0
80,0.008
81,1.0
82,1.0
83,0.008
84,1.0
85,1.0
86,0.008
87,1.0
88,1.0
89,0.008
90,1.0
91,1.0
92,0.008
93,1.0
94,1.0
95,0.008
96,1.0
97,1.0
98,0.008
99,1.0
100,1.0
101,0.008
102,1.0
103,1.0
104,0.008
105,1.0
106,1.0
107,0.008
108,1.0
109,1.0
110,0.008
111,1.0
112,1.0
113,0.008
114,1.0
115,1.0
116,0.008
117,1.0
118,1.0
119,0.008
120,1.0
121,1.0
122,0.008
123,1.0
124,1.0
125,0.008
126,1.0
127,1.0
128,0.008
129,1.0
130,1.0
131,0.008
132,1.0
133,1.0
134,0.008
135,1.0
136,1.0
137,0.008
138,1.0
139,1.0
140,0.008
141,1.0
142,1.0
143,0.008
144,1.0
145,1.0
146,0.008
147,1.0
148,1.0
149,0.008
150,1.0
151,1.0
152,0.008
153,1.0
154,1.0
155,0.008
156,1.0
157,1.0
158,0.008
159,1.0
160,1.0
161,0.008
162,1.0
163,1.0
164,0.008
165,1.0
166,1.0
167,0.008
168,1.0
169,1.0
170,0.008
171,1.0
172,1.0
173,0.008
174,1.0
175,1.0
176,0.008
177,1.0
178,1.0
179,0.008
180,1.0
181,1.0
182,0.008
183,1.0
184,1.0
185,0.008
186,1.0
187,1.0
188,0.008
189,1.0
190,1.0
191,0.008
192,1.0
193,1.0
194,0.008
195,1.0
196,1.0
197,0.008
198,1.0
199,1.0
200,0.008
201,1.0
202,1.0
203,0.008
204,1.0
205,1.0
206,0.008
207,1.0
208,1.0
209,0.008
210,1.0
211,1.0
212,0.008
213,1.0
214,1.0
215,0.008
216,1.0
217,1.0
218,0.008
219,1.0
220,1.0
221,0.008
222,1.0
223,1.0
224,0.008
225,1.0
226,1.0
227,0.008
228,1.0
229,1.0
230,0.008
231,1.0
232,1.0
233,0.008
234,1.0
235,1.0
236,0.008
237,1.0
238,1.0
239,0.008
240,1.0
241,1.0
242,0.008
243,1.0
244,1.0
245,0.008
246,1.0
247,1.0
248,0.008
249,1.0
250,1.0
251,0.008
252,1.0
253,1.0
254,0.008
255,1.0
256,1.0
257,0.008
258,1.0
259,1.0
260,0.008
261,1.0
262,1.0
263,0.008
264,1.0
265,1.0
266,0.008
267,1.0
268,1.0
269,0.008
270,1.0
271,1.0
272,0.008
273,1.0
274,1.0
275,0.008
276,1.0
277,1.0
278,0.008
279,1.0
280,1.0
281,0.008
282,1.0
283,1.0
284,0.008
285,1.0
286,1.0
287,0.008
288,1.0
289,1.0
290,0.008
291,1.0
292,1.0
293,0.008
294,1.0
295,1.0
296,0.008
297,1.0
298,1.0
299,0.008
300,1.0
301,1.0
302,0.008
303,1.0
304,1.0
305,0.008
306,1.0
307,1.0
308,0.008
309,1.0
310,1.0
311,0.008
312,1.0
313,1.0
314,0.008
315,1.0
316,1.0
317,0.008
318,1.0
319,1.0
320,0.008
321,1.0
322,1.0
323,0.008
324,1.0
325,1.0
326,0.008
327,1.0
328,1.0
329,0.008
330,1.0
331,1.0
332,0.008
333,1.0
334,1.0
335,0.008
336,1.0
337,1.0
338,0.008
339,1.0
340,1.0
341,0.008
342,1.0
343,1.0
344,0.008
345,1.0
346,1.0
347,0.008
348,1.0
349,1.0
350,0.008
351,1.0
352,1.0
353,0.008
354,1.0
355,1.0
356,0.008
357,1.0
358,1.0
359,0.008
360,1.0
361,1.0
362,0.008
363,1.0
364,1.0
365,0.008
366,1.0
367,1.0
368,0.008
369,1.0
370,1.0
371,0.008
372,1.0
373,1.0
374,0.008
375,1.0
376,1.0
