etapa,iter,miniIter,est,node,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
BACKWARD,1,0,5,5,1,1950.0,849.0,1101.0,0.0,4990.0,0.0
BACKWARD,1,0,4,4,1,2448.0,1448.0,1000.0,0.0,10980.0,3650.0
BACKWARD,1,0,3,3,1,1950.0,950.0,1000.0,0.0,6000.0,12660.0
BACKWARD,1,0,2,2,1,1950.0,950.0,1000.0,0.0,6000.0,16460.0
BACKWARD,1,0,1,1,1,1950.0,706.0,1244.0,0.0,3560.0,0.0
BACKWARD,2,0,5,5,1,1950.0,650.0,1300.0,0.0,3250.0,0.0
BACKWARD,2,0,4,4,1,2448.0,1148.0,1300.0,0.0,7980.0,3250.0
BACKWARD,2,0,3,3,1,1950.0,650.0,1300.0,0.0,3250.0,11230.0
BACKWARD,2,0,2,2,1,1950.0,904.0,1046.0,0.0,5540.0,14480.0
BACKWARD,2,0,1,1,1,1950.0,706.0,1244.0,0.0,3560.0,0.0
BACKWARD,3,0,5,5,1,1950.0,675.0,1275.0,0.0,3375.0,0.0
BACKWARD,3,0,4,4,1,2448.0,1148.0,1300.0,0.0,7980.0,3375.0
BACKWARD,3,0,3,3,1,1950.0,700.0,1250.0,0.0,3500.0,11230.0
BACKWARD,3,0,2,2,1,1950.0,854.0,1096.0,0.0,5040.0,14980.0
BACKWARD,3,0,1,1,1,1950.0,706.0,1244.0,0.0,3560.0,0.0
