etapa,iter,miniIter,est,node,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FORWARD,1,1,1,1,1,1950.0,706.0,1244.0,0.0,3560.0,0.0
FORWARD,1,1,2,2,1,1950.0,730.0,1220.0,0.0,3800.0,0.0
FORWARD,1,1,3,3,1,1950.0,753.0,1197.0,0.0,4030.0,0.0
FORWARD,1,1,4,4,1,2448.0,1314.0,1134.0,0.0,9640.0,0.0
FORWARD,1,1,5,5,1,1950.0,849.0,1101.0,0.0,4990.0,0.0
FORWARD,2,1,1,1,1,1950.0,950.0,1000.0,0.0,6000.0,20020.0
FORWARD,2,1,2,2,1,1950.0,950.0,1000.0,0.0,6000.0,14020.0
FORWARD,2,1,3,3,1,1950.0,950.0,1000.0,0.0,6000.0,8020.0
FORWARD,2,1,4,4,1,2448.0,1152.0,1296.0,0.0,8020.0,0.0
FORWARD,2,1,5,5,1,1950.0,650.0,1300.0,0.0,3250.0,0.0
FORWARD,3,1,1,1,1,1950.0,950.0,1000.0,0.0,6000.0,20020.0
FORWARD,3,1,2,2,1,1950.0,904.0,1046.0,0.0,5540.0,14480.0
FORWARD,3,1,3,3,1,1950.0,675.0,1275.0,0.0,3375.0,11230.0
FORWARD,3,1,4,4,1,2448.0,1148.0,1300.0,0.0,7980.0,3250.0
FORWARD,3,1,5,5,1,1950.0,675.0,1275.0,0.0,3375.0,0.0
FORWARD,4,1,1,1,1,1950.0,950.0,1000.0,0.0,6000.0,20020.0
FORWARD,4,1,2,2,1,1950.0,854.0,1096.0,0.0,5040.0,14980.0
FORWARD,4,1,3,3,1,1950.0,700.0,1250.0,0.0,3500.0,11480.0
FORWARD,4,1,4,4,1,2448.0,1148.0,1300.0,0.0,7980.0,3500.0
FORWARD,4,1,5,5,1,1950.0,700.0,1250.0,0.0,3500.0,0.0
