etapa,iter,miniIter,est,node,ilha,codigoBarra,generation,demanda,potenciaLiquida,deficit
FORWARD,1,1,1,1,1,1,244.0,0.0,244.0,0.0
FORWARD,1,1,1,1,1,2,1000.0,0.0,1000.0,0.0
FORWARD,1,1,1,1,1,3,6.0,0.0,6.0,0.0
FORWARD,1,1,1,1,1,4,700.0,650.0,50.0,0.0
FORWARD,1,1,1,1,1,5,0.0,650.0,-650.0,0.0
FORWARD,1,1,1,1,1,6,0.0,650.0,-650.0,0.0
FORWARD,1,1,2,2,1,1,220.0,0.0,220.0,0.0
FORWARD,1,1,2,2,1,2,1000.0,0.0,1000.0,0.0
FORWARD,1,1,2,2,1,3,30.0,0.0,30.0,0.0
FORWARD,1,1,2,2,1,4,700.0,650.0,50.0,0.0
FORWARD,1,1,2,2,1,5,0.0,650.0,-650.0,0.0
FORWARD,1,1,2,2,1,6,0.0,650.0,-650.0,0.0
FORWARD,1,1,3,3,1,1,197.0,0.0,197.0,0.0
FORWARD,1,1,3,3,1,2,1000.0,0.0,1000.0,0.0
FORWARD,1,1,3,3,1,3,53.0,0.0,53.0,0.0
FORWARD,1,1,3,3,1,4,700.0,650.0,50.0,0.0
FORWARD,1,1,3,3,1,5,0.0,650.0,-650.0,0.0
FORWARD,1,1,3,3,1,6,0.0,650.0,-650.0,0.0
FORWARD,1,1,4,4,1,1,134.0,0.0,134.0,0.0
FORWARD,1,1,4,4,1,2,1000.0,0.0,1000.0,0.0
FORWARD,1,1,4,4,1,3,614.0,0.0,614.0,0.0
FORWARD,1,1,4,4,1,4,700.0,816.0,-116.0,0.0
FORWARD,1,1,4,4,1,5,0.0,816.0,-816.0,0.0
FORWARD,1,1,4,4,1,6,0.0,816.0,-816.0,0.0
FORWARD,1,1,5,5,1,1,101.0,0.0,101.0,0.0
FORWARD,1,1,5,5,1,2,1000.0,0.0,1000.0,0.0
FORWARD,1,1,5,5,1,3,149.0,0.0,149.0,0.0
FORWARD,1,1,5,5,1,4,700.0,650.0,50.0,0.0
FORWARD,1,1,5,5,1,5,0.0,650.0,-650.0,0.0
FORWARD,1,1,5,5,1,6,0.0,650.0,-650.0,0.0
FORWARD,2,1,1,1,1,1,0.0,0.0,0.0,0.0
FORWARD,2,1,1,1,1,2,1000.0,0.0,1000.0,0.0
FORWARD,2,1,1,1,1,3,250.0,0.0,250.0,0.0
FORWARD,2,1,1,1,1,4,700.0,650.0,50.0,0.0
FORWARD,2,1,1,1,1,5,0.0,650.0,-650.0,0.0
FORWARD,2,1,1,1,1,6,0.0,650.0,-650.0,0.0
FORWARD,2,1,2,2,1,1,0.0,0.0,0.0,0.0
FORWARD,2,1,2,2,1,2,1000.0,0.0,1000.0,0.0
FORWARD,2,1,2,2,1,3,250.0,0.0,250.0,0.0
FORWARD,2,1,2,2,1,4,700.0,650.0,50.0,0.0
FORWARD,2,1,2,2,1,5,0.0,650.0,-650.0,0.0
FORWARD,2,1,2,2,1,6,0.0,650.0,-650.0,0.0
FORWARD,2,1,3,3,1,1,0.0,0.0,0.0,0.0
FORWARD,2,1,3,3,1,2,1000.0,0.0,1000.0,0.0
FORWARD,2,1,3,3,1,3,250.0,0.0,250.0,0.0
FORWARD,2,1,3,3,1,4,700.0,650.0,50.0,0.0
FORWARD,2,1,3,3,1,5,0.0,650.0,-650.0,0.0
FORWARD,2,1,3,3,1,6,0.0,650.0,-650.0,0.0
FORWARD,2,1,4,4,1,1,296.0,0.0,296.0,0.0
FORWARD,2,1,4,4,1,2,1000.0,0.0,1000.0,0.0
FORWARD,2,1,4,4,1,3,452.0,0.0,452.0,0.0
