etapa,iter,miniIter,est,node,nome,usina,generation,VI,AFL,TURB,VERT,VF
FORWARD,4,1,1,1,CAMARGOS,1,0.0,0.0,244.0,0.0,0.0,244.0
FORWARD,4,1,1,1,FURNAS,2,1000.0,0.0,1716.0,1000.0,0.0,716.0
FORWARD,4,1,2,2,CAMARGOS,1,96.0,244.0,220.0,96.0,0.0,368.0
FORWARD,4,1,2,2,FURNAS,2,1000.0,716.0,1586.0,1000.0,0.0,1302.0
FORWARD,4,1,3,3,CAMARGOS,1,250.0,368.0,197.0,250.0,0.0,315.0
FORWARD,4,1,3,3,FURNAS,2,1000.0,1302.0,1427.0,1000.0,0.0,1729.0
FORWARD,4,1,4,4,CAMARGOS,1,300.0,315.0,134.0,300.0,0.0,149.0
FORWARD,4,1,4,4,FURNAS,2,1000.0,1729.0,975.0,1000.0,0.0,1704.0
FORWARD,4,1,5,5,CAMARGOS,1,250.0,149.0,101.0,250.0,0.0,0.0
FORWARD,4,1,5,5,FURNAS,2,1000.0,1704.0,714.0,1000.0,0.0,1418.0
