etapa,iter,miniIter,est,node,nome,usina,generation,custo,custoTotal
FORWARD,1,1,1,1,ANGRA1,3,6.0,10.0,60.0
FORWARD,1,1,1,1,ANGRA2,4,700.0,5.0,3500.0
FORWARD,1,1,2,2,ANGRA1,3,30.0,10.0,300.0
FORWARD,1,1,2,2,ANGRA2,4,700.0,5.0,3500.0
FORWARD,1,1,3,3,ANGRA1,3,53.0,10.0,530.0
FORWARD,1,1,3,3,ANGRA2,4,700.0,5.0,3500.0
FORWARD,1,1,4,4,ANGRA1,3,614.0,10.0,6140.0
FORWARD,1,1,4,4,ANGRA2,4,700.0,5.0,3500.0
FORWARD,1,1,5,5,ANGRA1,3,149.0,10.0,1490.0
FORWARD,1,1,5,5,ANGRA2,4,700.0,5.0,3500.0
FORWARD,2,1,1,1,ANGRA1,3,250.0,10.0,2500.0
FORWARD,2,1,1,1,ANGRA2,4,700.0,5.0,3500.0
FORWARD,2,1,2,2,ANGRA1,3,250.0,10.0,2500.0
FORWARD,2,1,2,2,ANGRA2,4,700.0,5.0,3500.0
FORWARD,2,1,3,3,ANGRA1,3,250.0,10.0,2500.0
FORWARD,2,1,3,3,ANGRA2,4,700.0,5.0,3500.0
FORWARD,2,1,4,4,ANGRA1,3,452.0,10.0,4520.0
FORWARD,2,1,4,4,ANGRA2,4,700.0,5.0,3500.0
FORWARD,2,1,5,5,ANGRA1,3,0.0,10.0,0.0
FORWARD,2,1,5,5,ANGRA2,4,650.0,5.0,3250.0
FORWARD,3,1,1,1,ANGRA1,3,250.0,10.0,2500.0
FORWARD,3,1,1,1,ANGRA2,4,700.0,5.0,3500.0
FORWARD,3,1,2,2,ANGRA1,3,204.0,10.0,2040.0
FORWARD,3,1,2,2,ANGRA2,4,700.0,5.0,3500.0
FORWARD,3,1,3,3,ANGRA1,3,0.0,10.0,0.0
FORWARD,3,1,3,3,ANGRA2,4,675.0,5.0,3375.0
FORWARD,3,1,4,4,ANGRA1,3,448.0,10.0,4480.0
FORWARD,3,1,4,4,ANGRA2,4,700.0,5.0,3500.0
FORWARD,3,1,5,5,ANGRA1,3,0.0,10.0,0.0
FORWARD,3,1,5,5,ANGRA2,4,675.0,5.0,3375.0
FORWARD,4,1,1,1,ANGRA1,3,250.0,10.0,2500.0
FORWARD,4,1,1,1,ANGRA2,4,700.0,5.0,3500.0
FORWARD,4,1,2,2,ANGRA1,3,154.0,10.0,1540.0
FORWARD,4,1,2,2,ANGRA2,4,700.0,5.0,3500.0
FORWARD,4,1,3,3,ANGRA1,3,0.0,10.0,0.0
FORWARD,4,1,3,3,ANGRA2,4,700.0,5.0,3500.0
FORWARD,4,1,4,4,ANGRA1,3,448.0,10.0,4480.0
FORWARD,4,1,4,4,ANGRA2,4,700.0,5.0,3500.0
FORWARD,4,1,5,5,ANGRA1,3,0.0,10.0,0.0
FORWARD,4,1,5,5,ANGRA2,4,700.0,5.0,3500.0
