iter,est,node,ilha,codigoBarra,generation,demanda,potenciaLiquida,deficit
1,1,1,1,1,80.0,0.0,80.0,0.0
1,1,1,1,2,20.0,0.0,20.0,0.0
1,1,1,1,3,0.0,100.0,-100.0,0.0
1,2,2,1,1,93.0,0.0,93.0,0.0
1,2,2,1,2,7.0,0.0,7.0,0.0
1,2,2,1,3,0.0,100.0,-100.0,0.0
1,3,3,1,1,84.0,0.0,84.0,0.0
1,3,3,1,2,16.0,0.0,16.0,0.0
1,3,3,1,3,0.0,100.0,-100.0,0.0
2,1,1,1,1,65.0,0.0,65.0,0.0
2,1,1,1,2,20.0,0.0,20.0,0.0
2,1,1,1,3,0.0,100.0,-85.0,15.0
2,2,2,1,1,93.0,0.0,93.0,0.0
2,2,2,1,2,7.0,0.0,7.0,0.0
2,2,2,1,3,0.0,100.0,-100.0,0.0
2,3,3,1,1,84.0,0.0,84.0,0.0
2,3,3,1,2,16.0,0.0,16.0,0.0
2,3,3,1,3,0.0,100.0,-100.0,0.0
