etapa,iter,est,node,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FORWARD,1,1,1,100.0,90.0,10.0,0.0,900.0,0.0
FORWARD,1,2,2,100.0,93.0,7.0,0.0,930.0,0.0
FORWARD,1,3,3,100.0,84.0,16.0,0.0,840.0,0.0
FORWARD,1,4,4,200.0,100.0,18.0,82.0,9200.0,0.0
FORWARD,1,5,5,100.0,75.0,25.0,0.0,750.0,0.0
FORWARD,2,1,1,100.0,100.0,0.0,0.0,1000.0,8650.0
FORWARD,2,2,2,100.0,100.0,0.0,0.0,1000.0,7650.0
FORWARD,2,3,3,100.0,100.0,0.0,0.0,1000.0,6650.0
FORWARD,2,4,4,200.0,100.0,51.0,49.0,5900.0,750.0
FORWARD,2,5,5,100.0,75.0,25.0,0.0,750.0,0.0
