NOME_UHE,NO,VAZAO
1,1,10
1,2,7
1,3,16
1,4,18
1,5,25
1,6,25
1,7,18
1,8,25
1,9,25
1,10,16
1,11,18
1,12,25
1,13,25
1,14,18
1,15,25
1,16,25
1,17,7
1,18,16
1,19,18
1,20,25
1,21,25
1,22,18
1,23,25
1,24,25
1,25,16
1,26,18
1,27,25
1,28,25
1,29,18
1,30,25
1,31,25 
2,1,10
2,2,7
2,3,16
2,4,18
2,5,25
2,6,25
2,7,18
2,8,25
2,9,25
2,10,16
2,11,18
2,12,25
2,13,25
2,14,18
2,15,25
2,16,25
2,17,7
2,18,16
2,19,18
2,20,25
2,21,25
2,22,18
2,23,25
2,24,25
2,25,16
2,26,18
2,27,25
2,28,25
2,29,18
2,30,25
2,31,25 
