 NUM  NOME         POSTO JUS   REE V.INIC U.EXIS MODIF INIC.HIST FIM HIST
 XXXX XXXXXXXXXXXX XXXX  XXXX XXXX XXX.XX XXXX   XXXX     XXXX     XXXX
    1 CAMARGOS        1     4   10  25.29   EX      1     1931     2018
    4 FUNIL-GRANDE  211     6   10   0.00   EX      1     1931     2018
    6 FURNAS          6     7   10  13.25   EX      1     1931     2018
    7 M. DE MORAES    7     8   10  36.24   EX      1     1931     2018
    8 ESTREITO        8     9   10   0.00   EX      1     1931     2018
    9 JAGUARA         9    11   10   0.00   EX      1     1931     2018
   11 VOLTA GRANDE   11    12   10   0.00   EX      1     1931     2018
   12 P. COLOMBIA    12    17   10   0.00   EX      1     1931     2018
   17 MARIMBONDO     17    18   10  23.12   EX      1     1931     2018
   18 A. VERMELHA    18    34   10  23.70   EX      1     1931     2018
   20 BATALHA        22    24   10  20.14   EX      1     1931     2018
   24 EMBORCACAO     24    31   10  12.80   EX      1     1931     2018
   25 NOVA PONTE     25    31   10  16.77   EX      1     1931     2018
   31 ITUMBIARA      31    32   10  16.31   EX      1     1931     2018
   32 CACH.DOURADA   32    33   10   0.00   EX      1     1931     2018
   33 SAO SIMAO      33    34   10  33.41   EX      1     1931     2018
   34 I. SOLTEIRA    34    45   10  68.14   EX      1     1931     2018
   45 JUPIA          45    46   10   0.00   EX      1     1931     2018
   46 P. PRIMAVERA   46    66   10   0.00   EX      1     1931     2018
   66 ITAIPU         66     0    5   0.00   EX      0     1931     2018
