NO,PROBABILIDADE
1,1.0
2,0.001
3,1.0
4,1.0
5,0.001
6,1.0
7,1.0
8,0.001
9,1.0
10,1.0
11,0.001
12,1.0
13,1.0
14,0.001
15,1.0
16,1.0
17,0.001
18,1.0
19,1.0
20,0.001
21,1.0
22,1.0
23,0.001
24,1.0
25,1.0
26,0.001
27,1.0
28,1.0
29,0.001
30,1.0
31,1.0
32,0.001
33,1.0
34,1.0
35,0.001
36,1.0
37,1.0
38,0.001
39,1.0
40,1.0
41,0.001
42,1.0
43,1.0
44,0.001
45,1.0
46,1.0
47,0.001
48,1.0
49,1.0
50,0.001
51,1.0
52,1.0
53,0.001
54,1.0
55,1.0
56,0.001
57,1.0
58,1.0
59,0.001
60,1.0
61,1.0
62,0.001
63,1.0
64,1.0
65,0.001
66,1.0
67,1.0
68,0.001
69,1.0
70,1.0
71,0.001
72,1.0
73,1.0
74,0.001
75,1.0
76,1.0
77,0.001
78,1.0
79,1.0
80,0.001
81,1.0
82,1.0
83,0.001
84,1.0
85,1.0
86,0.001
87,1.0
88,1.0
89,0.001
90,1.0
91,1.0
92,0.001
93,1.0
94,1.0
95,0.001
96,1.0
97,1.0
98,0.001
99,1.0
100,1.0
101,0.001
102,1.0
103,1.0
104,0.001
105,1.0
106,1.0
107,0.001
108,1.0
109,1.0
110,0.001
111,1.0
112,1.0
113,0.001
114,1.0
115,1.0
116,0.001
117,1.0
118,1.0
119,0.001
120,1.0
121,1.0
122,0.001
123,1.0
124,1.0
125,0.001
126,1.0
127,1.0
128,0.001
129,1.0
130,1.0
131,0.001
132,1.0
133,1.0
134,0.001
135,1.0
136,1.0
137,0.001
138,1.0
139,1.0
140,0.001
141,1.0
142,1.0
143,0.001
144,1.0
145,1.0
146,0.001
147,1.0
148,1.0
149,0.001
150,1.0
151,1.0
152,0.001
153,1.0
154,1.0
155,0.001
156,1.0
157,1.0
158,0.001
159,1.0
160,1.0
161,0.001
162,1.0
163,1.0
164,0.001
165,1.0
166,1.0
167,0.001
168,1.0
169,1.0
170,0.001
171,1.0
172,1.0
173,0.001
174,1.0
175,1.0
176,0.001
177,1.0
178,1.0
179,0.001
180,1.0
181,1.0
182,0.001
183,1.0
184,1.0
185,0.001
186,1.0
187,1.0
188,0.001
189,1.0
190,1.0
191,0.001
192,1.0
193,1.0
194,0.001
195,1.0
196,1.0
197,0.001
198,1.0
199,1.0
200,0.001
201,1.0
202,1.0
203,0.001
204,1.0
205,1.0
206,0.001
207,1.0
208,1.0
209,0.001
210,1.0
211,1.0
212,0.001
213,1.0
214,1.0
215,0.001
216,1.0
217,1.0
218,0.001
219,1.0
220,1.0
221,0.001
222,1.0
223,1.0
224,0.001
225,1.0
226,1.0
227,0.001
228,1.0
229,1.0
230,0.001
231,1.0
232,1.0
233,0.001
234,1.0
235,1.0
236,0.001
237,1.0
238,1.0
239,0.001
240,1.0
241,1.0
242,0.001
243,1.0
244,1.0
245,0.001
246,1.0
247,1.0
248,0.001
249,1.0
250,1.0
251,0.001
252,1.0
253,1.0
254,0.001
255,1.0
256,1.0
257,0.001
258,1.0
259,1.0
260,0.001
261,1.0
262,1.0
263,0.001
264,1.0
265,1.0
266,0.001
267,1.0
268,1.0
269,0.001
270,1.0
271,1.0
272,0.001
273,1.0
274,1.0
275,0.001
276,1.0
277,1.0
278,0.001
279,1.0
280,1.0
281,0.001
282,1.0
283,1.0
284,0.001
285,1.0
286,1.0
287,0.001
288,1.0
