,NO_PAI,NO,Abertura,PER,VAZAO,PROB
0,0,1,1,1,1055.0,1.0
1,1,2,1,2,1503.0,0.02
2,2,3,1,3,1881.0,1.0
3,3,4,1,4,2845.0,1.0
4,4,5,1,5,723.0,1.0
5,5,6,1,6,698.0,1.0
6,6,7,1,7,478.0,1.0
7,7,8,1,8,607.0,1.0
8,8,9,1,9,200.0,1.0
9,9,10,1,10,558.0,1.0
10,10,11,1,11,478.0,1.0
11,11,12,1,12,526.0,1.0
12,12,13,1,13,1010.0,1.0
13,1,14,2,2,1568.0,0.02
14,14,15,1,3,662.0,1.0
15,15,16,1,4,1663.0,1.0
16,16,17,1,5,636.0,1.0
17,17,18,1,6,441.0,1.0
18,18,19,1,7,553.0,1.0
19,19,20,1,8,507.0,1.0
20,20,21,1,9,435.0,1.0
21,21,22,1,10,195.0,1.0
22,22,23,1,11,459.0,1.0
23,23,24,1,12,798.0,1.0
24,24,25,1,13,1649.0,1.0
25,1,26,3,2,1114.0,0.02
26,26,27,1,3,726.0,1.0
27,27,28,1,4,1826.0,1.0
28,28,29,1,5,723.0,1.0
29,29,30,1,6,413.0,1.0
30,30,31,1,7,740.0,1.0
31,31,32,1,8,579.0,1.0
32,32,33,1,9,347.0,1.0
33,33,34,1,10,314.0,1.0
34,34,35,1,11,302.0,1.0
35,35,36,1,12,655.0,1.0
36,36,37,1,13,1029.0,1.0
37,1,38,4,2,1710.0,0.02
38,38,39,1,3,2092.0,1.0
39,39,40,1,4,1245.0,1.0
40,40,41,1,5,673.0,1.0
41,41,42,1,6,1223.0,1.0
42,42,43,1,7,442.0,1.0
43,43,44,1,8,339.0,1.0
44,44,45,1,9,364.0,1.0
45,45,46,1,10,547.0,1.0
46,46,47,1,11,793.0,1.0
47,47,48,1,12,533.0,1.0
48,48,49,1,13,334.0,1.0
49,1,50,5,2,1830.0,0.02
50,50,51,1,3,1614.0,1.0
51,51,52,1,4,2434.0,1.0
52,52,53,1,5,915.0,1.0
53,53,54,1,6,1254.0,1.0
54,54,55,1,7,651.0,1.0
55,55,56,1,8,561.0,1.0
56,56,57,1,9,476.0,1.0
57,57,58,1,10,214.0,1.0
58,58,59,1,11,392.0,1.0
59,59,60,1,12,892.0,1.0
60,60,61,1,13,1526.0,1.0
61,1,62,6,2,1303.0,0.02
62,62,63,1,3,1540.0,1.0
63,63,64,1,4,1623.0,1.0
64,64,65,1,5,1066.0,1.0
65,65,66,1,6,1034.0,1.0
66,66,67,1,7,1062.0,1.0
67,67,68,1,8,400.0,1.0
68,68,69,1,9,476.0,1.0
69,69,70,1,10,247.0,1.0
70,70,71,1,11,477.0,1.0
71,71,72,1,12,617.0,1.0
72,72,73,1,13,1095.0,1.0
73,1,74,7,2,2192.0,0.02
74,74,75,1,3,2902.0,1.0
75,75,76,1,4,1193.0,1.0
76,76,77,1,5,1118.0,1.0
77,77,78,1,6,579.0,1.0
78,78,79,1,7,252.0,1.0
79,79,80,1,8,618.0,1.0
80,80,81,1,9,334.0,1.0
81,81,82,1,10,405.0,1.0
82,82,83,1,11,769.0,1.0
83,83,84,1,12,914.0,1.0
84,84,85,1,13,1352.0,1.0
85,1,86,8,2,1301.0,0.02
86,86,87,1,3,357.0,1.0
87,87,88,1,4,1826.0,1.0
88,88,89,1,5,718.0,1.0
89,89,90,1,6,673.0,1.0
90,90,91,1,7,527.0,1.0
91,91,92,1,8,508.0,1.0
92,92,93,1,9,278.0,1.0
93,93,94,1,10,464.0,1.0
94,94,95,1,11,459.0,1.0
95,95,96,1,12,1989.0,1.0
96,96,97,1,13,555.0,1.0
97,1,98,9,2,3201.0,0.02
98,98,99,1,3,2092.0,1.0
99,99,100,1,4,1581.0,1.0
100,100,101,1,5,1321.0,1.0
101,101,102,1,6,630.0,1.0
102,102,103,1,7,740.0,1.0
103,103,104,1,8,442.0,1.0
104,104,105,1,9,476.0,1.0
