,Data,vazao,periodo
0,1931-01-01,178,1
1,1931-02-01,371,2
2,1931-03-01,326,3
3,1931-04-01,479,4
4,1931-05-01,332,5
5,1931-06-01,226,6
6,1931-07-01,125,7
7,1931-08-01,89,8
8,1931-09-01,112,9
9,1931-10-01,192,10
10,1931-11-01,153,11
11,1931-12-01,215,12
12,1932-01-01,449,1
13,1932-02-01,344,2
14,1932-03-01,214,3
15,1932-04-01,72,4
16,1932-05-01,68,5
17,1932-06-01,98,6
18,1932-07-01,81,7
19,1932-08-01,71,8
20,1932-09-01,73,9
21,1932-10-01,92,10
22,1932-11-01,102,11
23,1932-12-01,240,12
24,1933-01-01,287,1
25,1933-02-01,161,2
26,1933-03-01,147,3
27,1933-04-01,108,4
28,1933-05-01,84,5
29,1933-06-01,72,6
30,1933-07-01,69,7
31,1933-08-01,64,8
32,1933-09-01,63,9
33,1933-10-01,67,10
34,1933-11-01,72,11
35,1933-12-01,141,12
36,1934-01-01,196,1
37,1934-02-01,96,2
38,1934-03-01,112,3
39,1934-04-01,79,4
40,1934-05-01,60,5
41,1934-06-01,49,6
42,1934-07-01,44,7
43,1934-08-01,38,8
44,1934-09-01,40,9
45,1934-10-01,48,10
46,1934-11-01,57,11
47,1934-12-01,216,12
48,1935-01-01,242,1
49,1935-02-01,381,2
50,1935-03-01,184,3
51,1935-04-01,169,4
52,1935-05-01,121,5
53,1935-06-01,98,6
54,1935-07-01,73,7
55,1935-08-01,73,8
56,1935-09-01,69,9
57,1935-10-01,86,10
58,1935-11-01,86,11
59,1935-12-01,92,12
60,1936-01-01,84,1
61,1936-02-01,108,2
62,1936-03-01,229,3
63,1936-04-01,128,4
64,1936-05-01,90,5
65,1936-06-01,67,6
66,1936-07-01,57,7
67,1936-08-01,58,8
68,1936-09-01,65,9
69,1936-10-01,60,10
70,1936-11-01,87,11
71,1936-12-01,200,12
72,1937-01-01,349,1
73,1937-02-01,231,2
74,1937-03-01,170,3
75,1937-04-01,121,4
76,1937-05-01,128,5
77,1937-06-01,95,6
78,1937-07-01,74,7
79,1937-08-01,62,8
80,1937-09-01,57,9
81,1937-10-01,136,10
82,1937-11-01,158,11
83,1937-12-01,378,12
84,1938-01-01,265,1
85,1938-02-01,298,2
86,1938-03-01,227,3
87,1938-04-01,154,4
88,1938-05-01,133,5
89,1938-06-01,105,6
90,1938-07-01,88,7
91,1938-08-01,85,8
92,1938-09-01,97,9
93,1938-10-01,125,10
94,1938-11-01,135,11
95,1938-12-01,256,12
96,1939-01-01,260,1
97,1939-02-01,261,2
98,1939-03-01,149,3
99,1939-04-01,150,4
100,1939-05-01,107,5
101,1939-06-01,87,6
102,1939-07-01,79,7
103,1939-08-01,67,8
104,1939-09-01,63,9
105,1939-10-01,72,10
106,1939-11-01,124,11
107,1939-12-01,219,12
108,1940-01-01,270,1
109,1940-02-01,315,2
110,1940-03-01,255,3
111,1940-04-01,149,4
112,1940-05-01,113,5
113,1940-06-01,94,6
114,1940-07-01,77,7
115,1940-08-01,65,8
116,1940-09-01,64,9
117,1940-10-01,80,10
118,1940-11-01,177,11
119,1940-12-01,213,12
120,1941-01-01,233,1
121,1941-02-01,148,2
122,1941-03-01,146,3
123,1941-04-01,119,4
124,1941-05-01,82,5
