NO_PAI,NO,Abertura,PER,VAZAO,PROB,NOME_UHE
0,1,1,1,130.0,1.0,1
1,2,1,2,128.0,0.3333333333333333,1
2,3,1,3,96.0,0.3333333333333333,1
3,4,1,4,75.0,0.3333333333333333,1
4,5,1,5,149.0,0.3333333333333333,1
5,6,1,6,107.0,0.3333333333333333,1
5,7,2,6,106.0,0.3333333333333333,1
5,8,3,6,107.0,0.3333333333333333,1
4,9,2,5,156.0,0.3333333333333333,1
9,10,1,6,66.0,0.3333333333333333,1
9,11,2,6,113.0,0.3333333333333333,1
9,12,3,6,96.0,0.3333333333333333,1
4,13,3,5,149.0,0.3333333333333333,1
13,14,1,6,93.0,0.3333333333333333,1
13,15,2,6,115.0,0.3333333333333333,1
13,16,3,6,106.0,0.3333333333333333,1
3,17,2,4,275.0,0.3333333333333333,1
17,18,1,5,128.0,0.3333333333333333,1
18,19,1,6,44.0,0.3333333333333333,1
18,20,2,6,118.0,0.3333333333333333,1
18,21,3,6,81.0,0.3333333333333333,1
17,22,2,5,141.0,0.3333333333333333,1
22,23,1,6,60.0,0.3333333333333333,1
22,24,2,6,109.0,0.3333333333333333,1
22,25,3,6,88.0,0.3333333333333333,1
17,26,3,5,166.0,0.3333333333333333,1
26,27,1,6,44.0,0.3333333333333333,1
26,28,2,6,78.0,0.3333333333333333,1
26,29,3,6,88.0,0.3333333333333333,1
3,30,3,4,197.0,0.3333333333333333,1
30,31,1,5,160.0,0.3333333333333333,1
31,32,1,6,82.0,0.3333333333333333,1
31,33,2,6,128.0,0.3333333333333333,1
31,34,3,6,85.0,0.3333333333333333,1
30,35,2,5,149.0,0.3333333333333333,1
35,36,1,6,76.0,0.3333333333333333,1
35,37,2,6,106.0,0.3333333333333333,1
35,38,3,6,128.0,0.3333333333333333,1
30,39,3,5,128.0,0.3333333333333333,1
39,40,1,6,332.0,0.3333333333333333,1
39,41,2,6,88.0,0.3333333333333333,1
39,42,3,6,65.0,0.3333333333333333,1
2,43,2,3,278.0,0.3333333333333333,1
43,44,1,4,238.0,0.3333333333333333,1
44,45,1,5,106.0,0.3333333333333333,1
45,46,1,6,98.0,0.3333333333333333,1
45,47,2,6,44.0,0.3333333333333333,1
45,48,3,6,118.0,0.3333333333333333,1
44,49,2,5,97.0,0.3333333333333333,1
49,50,1,6,113.0,0.3333333333333333,1
49,51,2,6,81.0,0.3333333333333333,1
49,52,3,6,84.0,0.3333333333333333,1
44,53,3,5,160.0,0.3333333333333333,1
53,54,1,6,82.0,0.3333333333333333,1
53,55,2,6,122.0,0.3333333333333333,1
53,56,3,6,40.0,0.3333333333333333,1
43,57,2,4,356.0,0.3333333333333333,1
57,58,1,5,76.0,0.3333333333333333,1
58,59,1,6,105.0,0.3333333333333333,1
58,60,2,6,137.0,0.3333333333333333,1
58,61,3,6,121.0,0.3333333333333333,1
57,62,2,5,141.0,0.3333333333333333,1
62,63,1,6,102.0,0.3333333333333333,1
62,64,2,6,85.0,0.3333333333333333,1
62,65,3,6,102.0,0.3333333333333333,1
57,66,3,5,149.0,0.3333333333333333,1
66,67,1,6,108.0,0.3333333333333333,1
66,68,2,6,137.0,0.3333333333333333,1
66,69,3,6,73.0,0.3333333333333333,1
43,70,3,4,230.0,0.3333333333333333,1
70,71,1,5,97.0,0.3333333333333333,1
71,72,1,6,68.0,0.3333333333333333,1
71,73,2,6,109.0,0.3333333333333333,1
71,74,3,6,82.0,0.3333333333333333,1
70,75,2,5,150.0,0.3333333333333333,1
75,76,1,6,79.0,0.3333333333333333,1
75,77,2,6,115.0,0.3333333333333333,1
75,78,3,6,81.0,0.3333333333333333,1
70,79,3,5,172.0,0.3333333333333333,1
79,80,1,6,90.0,0.3333333333333333,1
79,81,2,6,118.0,0.3333333333333333,1
79,82,3,6,108.0,0.3333333333333333,1
2,83,3,3,145.0,0.3333333333333333,1
83,84,1,4,194.0,0.3333333333333333,1
84,85,1,5,156.0,0.3333333333333333,1
85,86,1,6,115.0,0.3333333333333333,1
85,87,2,6,76.0,0.3333333333333333,1
85,88,3,6,107.0,0.3333333333333333,1
84,89,2,5,57.0,0.3333333333333333,1
89,90,1,6,102.0,0.3333333333333333,1
89,91,2,6,100.0,0.3333333333333333,1
89,92,3,6,79.0,0.3333333333333333,1
84,93,3,5,128.0,0.3333333333333333,1
93,94,1,6,62.0,0.3333333333333333,1
93,95,2,6,119.0,0.3333333333333333,1
93,96,3,6,86.0,0.3333333333333333,1
83,97,2,4,185.0,0.3333333333333333,1
97,98,1,5,128.0,0.3333333333333333,1
98,99,1,6,81.0,0.3333333333333333,1
98,100,2,6,117.0,0.3333333333333333,1
98,101,3,6,96.0,0.3333333333333333,1
97,102,2,5,106.0,0.3333333333333333,1
102,103,1,6,97.0,0.3333333333333333,1
102,104,2,6,119.0,0.3333333333333333,1
102,105,3,6,59.0,0.3333333333333333,1
97,106,3,5,149.0,0.3333333333333333,1
106,107,1,6,121.0,0.3333333333333333,1
106,108,2,6,73.0,0.3333333333333333,1
106,109,3,6,97.0,0.3333333333333333,1
83,110,3,4,232.0,0.3333333333333333,1
110,111,1,5,94.0,0.3333333333333333,1
111,112,1,6,86.0,0.3333333333333333,1
111,113,2,6,78.0,0.3333333333333333,1
111,114,3,6,85.0,0.3333333333333333,1
110,115,2,5,117.0,0.3333333333333333,1
115,116,1,6,97.0,0.3333333333333333,1
115,117,2,6,97.0,0.3333333333333333,1
115,118,3,6,119.0,0.3333333333333333,1
110,119,3,5,123.0,0.3333333333333333,1
119,120,1,6,132.0,0.3333333333333333,1
119,121,2,6,102.0,0.3333333333333333,1
119,122,3,6,93.0,0.3333333333333333,1
1,123,2,2,336.0,0.3333333333333333,1
123,124,1,3,389.0,0.3333333333333333,1
124,125,1,4,145.0,0.3333333333333333,1
125,126,1,5,137.0,0.3333333333333333,1
126,127,1,6,86.0,0.3333333333333333,1
126,128,2,6,121.0,0.3333333333333333,1
126,129,3,6,98.0,0.3333333333333333,1
125,130,2,5,150.0,0.3333333333333333,1
130,131,1,6,62.0,0.3333333333333333,1
130,132,2,6,86.0,0.3333333333333333,1
130,133,3,6,93.0,0.3333333333333333,1
125,134,3,5,172.0,0.3333333333333333,1
134,135,1,6,40.0,0.3333333333333333,1
134,136,2,6,68.0,0.3333333333333333,1
134,137,3,6,96.0,0.3333333333333333,1
124,138,2,4,189.0,0.3333333333333333,1
138,139,1,5,479.0,0.3333333333333333,1
139,140,1,6,96.0,0.3333333333333333,1
139,141,2,6,100.0,0.3333333333333333,1
139,142,3,6,109.0,0.3333333333333333,1
138,143,2,5,119.0,0.3333333333333333,1
143,144,1,6,96.0,0.3333333333333333,1
