etapa,iter,est,node,GT,GH,Deficit,CustoPresente,CustoFuturo
FORWARD ,1,1,1,99.0,1.0,0.0,990.0,0.0
FORWARD ,1,2,2,99.0,1.0,0.0,990.0,0.0
FORWARD ,1,3,3,99.0,1.0,0.0,990.0,0.0
FORWARD ,1,4,4,100.0,1.0,99.0,10900.0,0.0
FORWARD ,1,5,5,99.0,1.0,0.0,990.0,0.0
BACKWARD ,1,5,5,99.0,1.0,0.0,990.0,0.0
BACKWARD ,1,4,4,100.0,1.0,99.0,10900.0,990.0
BACKWARD ,1,3,3,100.0,0.0,0.0,1000.0,11790.0
BACKWARD ,1,2,2,100.0,0.0,0.0,1000.0,12690.0
BACKWARD ,1,1,1,99.0,1.0,0.0,990.0,0.0
FORWARD ,2,1,1,100.0,0.0,0.0,1000.0,13590.0
FORWARD ,2,2,2,100.0,0.0,0.0,1000.0,12590.0
FORWARD ,2,3,3,100.0,0.0,0.0,1000.0,11590.0
FORWARD ,2,4,4,100.0,4.0,96.0,10600.0,990.0
FORWARD ,2,5,5,99.0,1.0,0.0,990.0,0.0
