NOME_UHE,NO,VAZAO
6,1,501.0
6,2,724.0
6,3,630.0
6,4,313.0
6,5,321.0
6,6,321.0
6,7,309.0
6,8,303.0
6,9,330.0
6,10,322.0
6,11,294.0
6,12,321.0
6,13,319.0
6,14,323.0
6,15,322.0
6,16,303.0
6,17,314.0
6,18,321.0
6,19,289.0
6,20,326.0
6,21,318.0
6,22,321.0
6,23,320.0
6,24,323.0
6,25,295.0
6,26,323.0
6,27,313.0
6,28,325.0
6,29,326.0
6,30,307.0
6,31,315.0
6,32,313.0
6,33,331.0
6,34,340.0
6,35,313.0
6,36,316.0
6,37,307.0
6,38,332.0
6,39,300.0
6,40,308.0
6,41,335.0
6,42,292.0
6,43,312.0
6,44,294.0
6,45,312.0
6,46,313.0
6,47,325.0
6,48,320.0
6,49,338.0
6,50,303.0
6,51,310.0
6,52,307.0
6,53,298.0
6,54,302.0
6,55,312.0
6,56,307.0
6,57,309.0
6,58,295.0
6,59,299.0
6,60,309.0
6,61,315.0
6,62,299.0
6,63,316.0
6,64,326.0
6,65,299.0
6,66,296.0
6,67,293.0
6,68,308.0
6,69,308.0
6,70,293.0
6,71,301.0
6,72,308.0
6,73,295.0
6,74,299.0
6,75,299.0
6,76,301.0
6,77,298.0
6,78,322.0
6,79,307.0
6,80,348.0
6,81,307.0
6,82,319.0
6,83,287.0
6,84,301.0
6,85,304.0
6,86,319.0
6,87,309.0
6,88,312.0
6,89,287.0
6,90,315.0
6,91,303.0
6,92,303.0
6,93,288.0
6,94,301.0
6,95,308.0
6,96,301.0
6,97,319.0
6,98,327.0
6,99,302.0
6,100,314.0
6,101,309.0
6,102,320.0
6,103,320.0
6,104,445.0
6,105,456.0
6,106,443.0
6,107,444.0
6,108,426.0
6,109,428.0
6,110,443.0
6,111,429.0
6,112,443.0
6,113,449.0
6,114,449.0
6,115,446.0
6,116,442.0
6,117,450.0
6,118,438.0
6,119,443.0
6,120,435.0
6,121,446.0
6,122,451.0
6,123,421.0
6,124,457.0
6,125,437.0
6,126,454.0
6,127,433.0
6,128,447.0
