etapa,iter,est,node,nome,usina,generation,VI,AFL,TURB,VERT,VF
BACKWARD,1,5,5,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
BACKWARD,1,5,5,UHE2,2,26.0,0.0,26.0,26.0,0.0,0.0
BACKWARD,1,4,4,UHE1,1,18.0,0.0,18.0,18.0,0.0,0.0
BACKWARD,1,4,4,UHE2,2,18.0,0.0,18.0,18.0,0.0,0.0
BACKWARD,1,3,3,UHE1,1,0.0,0.0,16.0,0.0,0.0,16.0
BACKWARD,1,3,3,UHE2,2,0.0,0.0,17.0,0.0,0.0,17.0
BACKWARD,1,2,2,UHE1,1,0.0,0.0,7.0,0.0,0.0,7.0
BACKWARD,1,2,2,UHE2,2,0.0,0.0,8.0,0.0,0.0,8.0
BACKWARD,1,1,1,UHE1,1,10.0,0.0,10.0,10.0,0.0,0.0
BACKWARD,1,1,1,UHE2,2,11.0,0.0,11.0,11.0,0.0,0.0
