etapa,iter,est,node,nome,usina,generation,VI,AFL,TURB,VERT,VF
FORWARD,3,1,1,UHE1,1,0.0,0.0,10.0,0.0,0.0,10.0
FORWARD,3,1,1,UHE2,2,0.0,0.0,10.0,0.0,0.0,10.0
FORWARD,3,2,2,UHE1,1,0.0,10.0,7.0,0.0,0.0,17.0
FORWARD,3,2,2,UHE2,2,0.0,10.0,7.0,0.0,0.0,17.0
FORWARD,3,2,17,UHE1,1,0.0,10.0,7.0,0.0,0.0,17.0
FORWARD,3,2,17,UHE2,2,0.0,10.0,7.0,0.0,0.0,17.0
FORWARD,3,3,3,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,3,UHE2,2,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,10,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,10,UHE2,2,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,18,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,18,UHE2,2,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,25,UHE1,1,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,3,25,UHE2,2,0.0,17.0,16.0,0.0,0.0,33.0
FORWARD,3,4,4,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,4,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,7,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,7,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,11,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,11,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,14,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,14,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,19,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,19,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,22,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,22,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,26,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,26,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,29,UHE1,1,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,4,29,UHE2,2,51.0,33.0,18.0,51.0,0.0,0.0
FORWARD,3,5,5,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,5,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,6,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,6,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,8,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,8,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,9,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,9,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,12,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,12,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,13,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,13,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,15,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,15,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,16,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,16,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,20,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,20,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,21,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,21,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,23,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,23,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,24,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,24,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,27,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,27,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,28,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,28,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,30,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,30,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,31,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
FORWARD,3,5,31,UHE2,2,25.0,0.0,25.0,25.0,0.0,0.0
