,NO_PAI,NO,Abertura,PER,PROB
0,0,1,1,1,1.0
3,54,4,1,4,0.3
18,84,19,1,4,0.3333
21,54,22,1,4,0.1
27,144,28,1,4,0.4286
41,143,42,1,3,0.2
42,42,43,1,4,1.0
48,147,49,1,4,0.5
50,101,51,1,3,0.25
51,51,52,1,4,1.0
52,1,53,18,2,0.08
53,53,54,1,3,1.0
54,54,55,1,4,0.3
55,1,56,19,2,0.08
56,56,57,1,3,1.0
57,57,58,1,4,1.0
67,1,68,23,2,0.12
68,68,69,1,3,0.8333
69,69,70,1,4,0.4444
72,69,73,1,4,0.4444
74,80,75,1,3,0.3333
75,75,76,1,4,1.0
79,1,80,27,2,0.06
80,80,81,1,3,0.6667
81,81,82,1,4,1.0
82,1,83,28,2,0.06
83,83,84,1,3,1.0
84,84,85,1,4,0.6667
86,143,87,1,3,0.4
87,87,88,1,4,1.0
88,1,89,30,2,0.14
89,89,90,1,3,0.4167
90,90,91,1,4,0.6667
93,69,94,1,4,0.1111
100,1,101,34,2,0.08
101,101,102,1,3,0.75
102,102,103,1,4,0.6667
104,89,105,1,3,0.4167
105,105,106,1,4,1.0
108,54,109,1,4,0.3
111,144,112,1,4,0.1429
114,138,115,1,4,0.5
115,1,116,39,2,0.1
116,116,117,1,3,0.6
117,117,118,1,4,1.0
118,1,119,40,2,0.06
119,119,120,1,3,1.0
120,120,121,1,4,0.6667
123,102,124,1,4,0.3333
129,120,130,1,4,0.3333
131,68,132,1,3,0.1667
132,132,133,1,4,1.0
135,90,136,1,4,0.3333
136,1,137,46,2,0.04
137,137,138,1,3,1.0
138,138,139,1,4,0.5
140,116,141,1,3,0.4
141,141,142,1,4,1.0
142,1,143,48,2,0.18
143,143,144,1,3,0.4
144,144,145,1,4,0.4286
146,89,147,1,3,0.1667
147,147,148,1,4,0.5
