NO_PAI,NO,Abertura,PER,PROB
0,1,1,1,1.0
56,21,1,3,0.4138
21,22,1,4,0.4286
120,43,1,4,0.3333
21,52,1,4,0.1429
21,55,1,4,0.4286
1,56,19,2,0.34
56,57,1,3,0.4138
57,58,1,4,0.4286
89,69,1,3,0.1852
69,70,1,4,0.4444
69,73,1,4,0.4444
87,76,1,4,0.375
87,82,1,4,0.25
90,85,1,4,0.2
143,87,1,3,0.3929
87,88,1,4,0.375
1,89,30,2,0.32
89,90,1,3,0.4074
90,91,1,4,0.4
69,94,1,4,0.1111
57,103,1,4,0.1429
89,105,1,3,0.4074
105,106,1,4,0.4444
90,109,1,4,0.4
144,112,1,4,0.4
105,115,1,4,0.4444
56,117,1,3,0.1724
117,118,1,4,0.4444
143,120,1,3,0.2143
120,121,1,4,0.3333
117,124,1,4,0.4444
120,130,1,4,0.3333
117,133,1,4,0.1111
105,139,1,4,0.1111
57,142,1,4,0.4286
1,143,48,2,0.34
143,144,1,3,0.3929
144,145,1,4,0.4
144,148,1,4,0.2
