NOME_UHE,NO,VAZAO
1,1,0
1,16,88
1,25,85
1,28,111
2,1,0
2,16,0
2,25,0
2,28,0
6,1,0
6,16,559
6,25,563
6,28,539
7,1,0
7,16,153
7,25,142
7,28,155
8,1,0
8,16,40
8,25,37
8,28,40
9,1,0
9,16,20
9,25,19
9,28,20
10,1,0
10,16,50
10,25,48
10,28,51
11,1,0
11,16,97
11,25,90
11,28,98
12,1,0
12,16,199
12,25,194
12,28,180
14,1,0
14,16,47
14,25,47
14,28,44
15,1,0
15,16,30
15,25,31
15,28,29
16,1,0
16,16,2
16,25,1
16,28,1
17,1,0
17,16,524
17,25,532
17,28,551
18,1,0
18,16,430
18,25,410
18,28,493
22,1,0
22,16,65
22,25,65
22,28,64
23,1,0
23,16,33
23,25,35
23,28,34
24,1,0
24,16,228
24,25,240
24,28,237
25,1,0
25,16,300
25,25,315
25,28,308
28,1,0
28,16,8
28,25,8
28,28,7
31,1,0
31,16,238
31,25,266
31,28,239
32,1,0
32,16,87
32,25,88
32,28,87
33,1,0
33,16,1062
33,25,1093
33,28,1050
34,1,0
34,16,626
34,25,632
34,28,658
47,1,0
47,16,1106
47,25,1092
47,28,943
48,1,0
48,16,18
48,25,18
48,28,18
49,1,0
49,16,391
49,25,358
49,28,338
50,1,0
50,16,304
50,25,291
50,28,266
51,1,0
51,16,28
51,25,26
51,28,23
52,1,0
52,16,55
52,25,52
52,28,47
57,1,0
57,16,611
57,25,758
57,28,694
61,1,0
61,16,523
61,25,487
61,28,400
62,1,0
62,16,71
62,25,77
62,28,50
63,1,0
63,16,154
63,25,164
63,28,119
71,1,0
71,16,110
71,25,115
71,28,105
72,1,0
72,16,5
72,25,6
72,28,7
73,1,0
73,16,22
73,25,24
73,28,28
74,1,0
74,16,1410
74,25,1301
74,28,1276
76,1,0
76,16,101
76,25,109
76,28,134
77,1,0
77,16,137
77,25,99
77,28,145
78,1,0
78,16,56
78,25,37
78,28,59
81,1,0
81,16,140
81,25,104
81,28,143
88,1,0
88,16,738
88,25,903
88,28,818
89,1,0
89,16,170
89,25,215
89,28,214
92,1,0
92,16,629
92,25,656
92,28,573
93,1,0
93,16,81
93,25,95
93,28,112
94,1,0
94,16,122
94,25,169
94,28,197
97,1,0
97,16,171
97,25,140
97,28,211
98,1,0
98,16,550
98,25,690
98,28,475
99,1,0
99,16,91
99,25,95
99,28,88
101,1,0
101,16,357
101,25,342
101,28,291
102,1,0
102,16,356
102,25,520
102,28,584
103,1,0
103,16,3
103,25,8
103,28,12
104,1,0
104,16,0
104,25,0
104,28,0
109,1,0
109,16,0
109,25,0
109,28,0
110,1,0
110,16,52
110,25,51
110,28,43
111,1,0
111,16,361
111,25,335
111,28,304
112,1,0
112,16,8
112,25,8
112,28,5
113,1,0
113,16,178
113,25,175
113,28,86
114,1,0
114,16,190
114,25,189
114,28,90
115,1,0
115,16,38
115,25,43
115,28,32
116,1,0
116,16,11
116,25,12
116,28,9
117,1,0
117,16,28
117,25,29
117,28,25
118,1,0
118,16,0
118,25,0
118,28,0
119,1,0
119,16,53
119,25,57
119,28,47
134,1,0
134,16,30
134,25,29
134,28,46
141,1,0
141,16,413
141,25,424
141,28,429
144,1,0
144,16,314
144,25,321
144,28,326
145,1,0
145,16,135
145,25,167
145,28,155
148,1,0
148,16,182
148,25,186
148,28,190
149,1,0
149,16,192
149,25,203
149,28,126
154,1,0
154,16,156
154,25,159
154,28,154
155,1,0
155,16,81
155,25,82
155,28,77
156,1,0
156,16,376
156,25,377
156,28,384
158,1,0
158,16,39
158,25,38
158,28,34
160,1,0
160,16,17
160,25,18
160,28,15
161,1,0
161,16,145
161,25,153
161,28,127
166,1,0
166,16,0
166,25,0
166,28,0
168,1,0
168,16,0
168,25,0
168,28,0
168,32,0
168,33,0
168,34,0
168,35,0
168,36,0
168,37,0
168,38,0
168,39,0
168,40,0
168,41,0
168,42,0
168,43,0
168,44,0
168,45,0
168,46,0
168,47,0
168,48,0
168,49,0
168,50,0
168,51,0
168,52,0
168,53,0
168,54,0
168,55,0
168,56,0
168,57,0
168,58,0
168,59,0
168,60,0
168,61,0
169,1,0
169,16,1587
169,25,1512
169,28,1624
169,32,593
169,33,902
169,34,1584
169,35,589
169,36,1044
169,37,1581
169,38,543
169,39,1111
169,40,1564
169,41,593
169,42,989
169,43,1624
169,44,534
169,45,867
169,46,1587
169,47,607
169,48,1286
169,49,1574
169,50,627
169,51,1181
169,52,1533
169,53,497
169,54,879
169,55,1512
169,56,575
169,57,897
169,58,1624
169,59,597
169,60,1252
169,61,1617
171,1,0
171,16,0
171,25,0
171,28,0
172,1,0
172,16,2083
172,25,2009
172,28,2119
173,1,0
173,16,2083
173,25,2009
173,28,2119
175,1,0
175,16,2083
175,25,2009
175,28,2119
176,1,0
176,16,2083
176,25,2009
176,28,2119
178,1,0
178,16,2083
178,25,2009
178,28,2119
183,1,0
183,16,1
183,25,2
183,28,2
188,1,0
188,16,51
188,25,60
188,28,41
190,1,0
190,16,323
190,25,331
190,28,318
191,1,0
191,16,100
191,25,110
191,28,96
196,1,0
196,16,35
196,25,35
196,28,39
204,1,0
204,16,1996
204,25,1928
204,28,2061
205,1,0
205,16,146
205,25,148
205,28,139
206,1,0
206,16,13
206,25,15
206,28,13
207,1,0
207,16,3
207,25,4
207,28,3
209,1,0
209,16,301
209,25,317
209,28,294
211,1,0
211,16,121
211,25,114
211,28,125
215,1,0
215,16,646
215,25,758
215,28,577
216,1,0
216,16,90
216,25,112
216,28,110
217,1,0
217,16,321
217,25,416
217,28,281
220,1,0
220,16,58
220,25,67
220,28,79
222,1,0
222,16,348
222,25,263
222,28,358
227,1,0
227,16,2345
227,25,2459
227,28,2094
228,1,0
228,16,237
228,25,247
228,28,218
229,1,0
229,16,3435
229,25,3481
229,28,3185
230,1,0
230,16,41
230,25,44
230,28,37
237,1,0
237,16,447
237,25,438
237,28,455
238,1,0
238,16,82
238,25,77
238,28,90
239,1,0
239,16,153
239,25,146
239,28,169
240,1,0
240,16,87
240,25,86
240,28,84
241,1,0
241,16,26
241,25,25
241,28,26
242,1,0
242,16,34
242,25,32
242,28,33
243,1,0
243,16,38
243,25,36
243,28,26
244,1,0
244,16,0
244,25,0
244,28,0
245,1,0
245,16,667
245,25,660
245,28,671
246,1,0
246,16,1310
246,25,1370
246,28,1259
247,1,0
247,16,251
247,25,255
247,28,243
248,1,0
248,16,12
248,25,12
248,28,11
249,1,0
249,16,16
249,25,15
249,28,14
251,1,0
251,16,41
251,25,42
251,28,40
252,1,0
252,16,0
252,25,0
252,28,0
253,1,0
253,16,105
253,25,115
253,28,102
254,1,0
254,16,7
254,25,8
254,28,8
255,1,0
255,16,45
255,25,52
255,28,42
257,1,0
257,16,747
257,25,823
257,28,725
259,1,0
259,16,76
259,25,78
259,28,73
261,1,0
261,16,23
261,25,23
261,28,22
262,1,0
262,16,60
262,25,68
262,28,57
263,1,0
263,16,0
263,25,0
263,28,0
266,1,0
266,16,3105
266,25,3049
266,28,3295
269,1,0
269,16,464
269,25,471
269,28,479
270,1,0
270,16,652
270,25,666
270,28,753
271,1,0
271,16,2021
271,25,2073
271,28,1904
273,1,0
273,16,921
273,25,1022
273,28,900
275,1,0
275,16,11765
275,25,12054
275,28,11272
277,1,0
277,16,126
277,25,116
277,28,195
278,1,0
278,16,182
278,25,168
278,28,167
279,1,0
279,16,1113
279,25,1394
279,28,1165
280,1,0
280,16,6
280,25,7
280,28,6
281,1,0
281,16,102
281,25,98
281,28,107
283,1,0
283,16,21
283,25,27
283,28,20
284,1,0
284,16,5
284,25,2
284,28,21
285,1,0
285,16,37642
285,25,38954
285,28,36698
286,1,0
286,16,112
286,25,101
286,28,103
287,1,0
287,16,646
287,25,757
287,28,839
288,1,0
288,16,14222
288,25,14080
288,28,14602
290,1,0
290,16,807
290,25,810
290,28,823
291,1,0
291,16,1300
291,25,1384
291,28,1301
294,1,0
294,16,238
294,25,243
294,28,243
295,1,0
295,16,119
295,25,126
295,28,125
296,1,0
296,16,63
296,25,61
296,28,62
297,1,0
297,16,16
297,25,17
297,28,16
301,1,0
301,16,42
301,25,45
301,28,38
320,1,0
320,16,0
320,25,0
320,28,0
121,1,0
121,16,79
121,25,78
121,28,84
122,1,0
122,16,12
122,25,12
122,28,13
123,1,0
123,16,104
123,25,104
123,28,117
120,1,0
120,16,18
120,25,16
120,28,13
125,1,0
125,16,81
125,25,80
125,28,68
197,1,0
197,16,13
197,25,13
197,28,16
198,1,0
198,16,28
198,25,26
198,28,31
130,1,0
130,16,103
130,25,111
130,28,95
201,1,0
201,16,14
201,25,14
201,28,15
129,1,0
129,16,272
129,25,290
129,28,240
202,1,0
202,16,7
202,25,7
202,28,7
203,1,0
203,16,7
203,25,7
203,28,7
37,1,0
37,16,577
37,25,576
37,28,570
38,1,0
38,16,659
38,25,652
38,28,660
39,1,0
39,16,812
39,25,799
39,28,829
40,1,0
40,16,899
40,25,884
40,28,913
42,1,0
42,16,933
42,25,916
42,28,945
43,1,0
43,16,971
43,25,952
43,28,972
45,1,0
45,16,7790
45,25,7846
45,28,7886
46,1,0
46,16,9257
46,25,9376
46,28,9299
66,1,0
66,16,15638
66,25,15763
66,28,15506
75,1,0
75,16,1637
75,25,1542
75,28,1538
292,1,0
292,16,10972
292,25,10824
292,28,11352
302,1,0
302,16,3250
302,25,3255
302,28,3251
318,1,0
318,16,96
318,25,101
318,28,84
131,1,0
131,16,74
131,25,74
131,28,85
306,1,0
306,16,46
306,25,46
306,28,55
132,1,0
132,16,21
132,25,21
132,28,22
21,1,0
21,16,213
21,25,210
21,28,227
