etapa,iter,est,node,prob,SubmercadoDE,SubmercadoPARA,Valor
BK,1,4,4,1.0,1,2,0.0
BK,1,4,4,1.0,1,3,0.0
BK,1,4,4,1.0,1,4,0.0
BK,1,4,4,1.0,2,1,986.5399999999995
BK,1,4,4,1.0,2,3,0.0
BK,1,4,4,1.0,2,4,0.0
BK,1,4,4,1.0,3,1,0.0
BK,1,4,4,1.0,3,2,0.0
BK,1,4,4,1.0,3,4,0.0
BK,1,4,4,1.0,4,1,16725.02
BK,1,4,4,1.0,4,2,0.0
BK,1,4,4,1.0,4,3,0.0
BK,1,4,7,1.0,1,2,0.0
BK,1,4,7,1.0,1,3,0.0
BK,1,4,7,1.0,1,4,0.0
BK,1,4,7,1.0,2,1,980.1599999999994
BK,1,4,7,1.0,2,3,0.0
BK,1,4,7,1.0,2,4,0.0
BK,1,4,7,1.0,3,1,0.0
BK,1,4,7,1.0,3,2,0.0
BK,1,4,7,1.0,3,4,0.0
BK,1,4,7,1.0,4,1,16631.420000000002
BK,1,4,7,1.0,4,2,0.0
BK,1,4,7,1.0,4,3,0.0
BK,1,3,3,0.5,1,2,0.0
BK,1,3,3,0.5,1,3,0.0
BK,1,3,3,0.5,1,4,0.0
BK,1,3,3,0.5,2,1,0.0
BK,1,3,3,0.5,2,3,0.0
BK,1,3,3,0.5,2,4,0.0
BK,1,3,3,0.5,3,1,0.0
BK,1,3,3,0.5,3,2,0.0
BK,1,3,3,0.5,3,4,0.0
BK,1,3,3,0.5,4,1,16505.02
BK,1,3,3,0.5,4,2,0.0
BK,1,3,3,0.5,4,3,0.0
BK,1,3,6,1.0,1,2,0.0
BK,1,3,6,1.0,1,3,0.0
BK,1,3,6,1.0,1,4,0.0
BK,1,3,6,1.0,2,1,0.0
BK,1,3,6,1.0,2,3,0.0
BK,1,3,6,1.0,2,4,0.0
BK,1,3,6,1.0,3,1,0.0
BK,1,3,6,1.0,3,2,0.0
BK,1,3,6,1.0,3,4,0.0
BK,1,3,6,1.0,4,1,16449.82
BK,1,3,6,1.0,4,2,0.0
BK,1,3,6,1.0,4,3,0.0
BK,1,2,2,0.5,1,2,0.0
BK,1,2,2,0.5,1,3,0.0
BK,1,2,2,0.5,1,4,0.0
BK,1,2,2,0.5,2,1,83.42000000000124
BK,1,2,2,0.5,2,3,0.0
BK,1,2,2,0.5,2,4,0.0
BK,1,2,2,0.5,3,1,0.0
BK,1,2,2,0.5,3,2,0.0
BK,1,2,2,0.5,3,4,0.0
BK,1,2,2,0.5,4,1,12982.300000000001
BK,1,2,2,0.5,4,2,0.0
BK,1,2,2,0.5,4,3,0.0
BK,1,2,5,0.002,1,2,0.0
BK,1,2,5,0.002,1,3,0.0
BK,1,2,5,0.002,1,4,0.0
BK,1,2,5,0.002,2,1,0.0
BK,1,2,5,0.002,2,3,0.0
BK,1,2,5,0.002,2,4,0.0
BK,1,2,5,0.002,3,1,0.0
BK,1,2,5,0.002,3,2,0.0
BK,1,2,5,0.002,3,4,0.0
BK,1,2,5,0.002,4,1,12718.300000000001
BK,1,2,5,0.002,4,2,0.0
BK,1,2,5,0.002,4,3,0.0
BK,1,1,1,1.0,1,2,0.0
BK,1,1,1,1.0,1,3,0.0
BK,1,1,1,1.0,1,4,0.0
BK,1,1,1,1.0,2,1,0.0
BK,1,1,1,1.0,2,3,0.0
BK,1,1,1,1.0,2,4,0.0
BK,1,1,1,1.0,3,1,0.0
BK,1,1,1,1.0,3,2,0.0
BK,1,1,1,1.0,3,4,0.0
BK,1,1,1,1.0,4,1,10943.9
BK,1,1,1,1.0,4,2,0.0
BK,1,1,1,1.0,4,3,0.0
BK,2,4,4,1.0,1,2,0.0
BK,2,4,4,1.0,1,3,0.0
BK,2,4,4,1.0,1,4,0.0
BK,2,4,4,1.0,2,1,986.5399999999997
BK,2,4,4,1.0,2,3,0.0
BK,2,4,4,1.0,2,4,0.0
BK,2,4,4,1.0,3,1,0.0
BK,2,4,4,1.0,3,2,0.0
BK,2,4,4,1.0,3,4,0.0
BK,2,4,4,1.0,4,1,16725.02
BK,2,4,4,1.0,4,2,0.0
BK,2,4,4,1.0,4,3,0.0
BK,2,4,7,1.0,1,2,0.0
BK,2,4,7,1.0,1,3,0.0
BK,2,4,7,1.0,1,4,0.0
BK,2,4,7,1.0,2,1,986.5399999999997
BK,2,4,7,1.0,2,3,0.0
BK,2,4,7,1.0,2,4,0.0
BK,2,4,7,1.0,3,1,0.0
BK,2,4,7,1.0,3,2,0.0
BK,2,4,7,1.0,3,4,0.0
BK,2,4,7,1.0,4,1,16631.420000000002
BK,2,4,7,1.0,4,2,0.0
BK,2,4,7,1.0,4,3,0.0
BK,2,3,3,0.5,1,2,0.0
BK,2,3,3,0.5,1,3,0.0
BK,2,3,3,0.5,1,4,0.0
BK,2,3,3,0.5,2,1,0.0
BK,2,3,3,0.5,2,3,0.0
BK,2,3,3,0.5,2,4,0.0
BK,2,3,3,0.5,3,1,0.0
BK,2,3,3,0.5,3,2,0.0
BK,2,3,3,0.5,3,4,0.0
BK,2,3,3,0.5,4,1,16505.02
BK,2,3,3,0.5,4,2,0.0
BK,2,3,3,0.5,4,3,0.0
BK,2,3,6,1.0,1,2,0.0
BK,2,3,6,1.0,1,3,0.0
BK,2,3,6,1.0,1,4,0.0
BK,2,3,6,1.0,2,1,0.0
BK,2,3,6,1.0,2,3,0.0
BK,2,3,6,1.0,2,4,0.0
BK,2,3,6,1.0,3,1,0.0
BK,2,3,6,1.0,3,2,0.0
BK,2,3,6,1.0,3,4,0.0
BK,2,3,6,1.0,4,1,16449.82
BK,2,3,6,1.0,4,2,0.0
BK,2,3,6,1.0,4,3,0.0
BK,2,2,2,0.5,1,2,0.0
BK,2,2,2,0.5,1,3,0.0
BK,2,2,2,0.5,1,4,0.0
BK,2,2,2,0.5,2,1,92.54000000000158
BK,2,2,2,0.5,2,3,0.0
BK,2,2,2,0.5,2,4,0.0
BK,2,2,2,0.5,3,1,0.0
BK,2,2,2,0.5,3,2,0.0
BK,2,2,2,0.5,3,4,0.0
BK,2,2,2,0.5,4,1,12982.300000000001
BK,2,2,2,0.5,4,2,0.0
BK,2,2,2,0.5,4,3,0.0
BK,2,2,5,0.002,1,2,0.0
BK,2,2,5,0.002,1,3,0.0
BK,2,2,5,0.002,1,4,0.0
BK,2,2,5,0.002,2,1,90.44531799999821
BK,2,2,5,0.002,2,3,0.0
BK,2,2,5,0.002,2,4,0.0
BK,2,2,5,0.002,3,1,0.0
BK,2,2,5,0.002,3,2,0.0
BK,2,2,5,0.002,3,4,0.0
BK,2,2,5,0.002,4,1,12718.300000000001
BK,2,2,5,0.002,4,2,0.0
BK,2,2,5,0.002,4,3,0.0
BK,2,1,1,1.0,1,2,0.0
BK,2,1,1,1.0,1,3,0.0
BK,2,1,1,1.0,1,4,0.0
BK,2,1,1,1.0,2,1,0.0
BK,2,1,1,1.0,2,3,0.0
BK,2,1,1,1.0,2,4,0.0
BK,2,1,1,1.0,3,1,0.0
BK,2,1,1,1.0,3,2,0.0
BK,2,1,1,1.0,3,4,0.0
