etapa,iter,miniIter,est,node,prob,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FW,1,0,1,1,1.0,0,300000.0,208501.49000000002,91498.50999999998,0.0,2.7550447000000007e6,0.0
FW,1,0,2,2,0.02,0,350000.0,252201.89000000007,97798.11,0.0,4.066056700000002e6,0.0
FW,1,0,2,5,1.0,0,350000.0,252207.00000000012,97793.0,0.0,4.0662100000000037e6,0.0
FW,1,0,2,8,1.0,0,350000.0,252966.13000000012,97033.87000000002,0.0,4.0889839000000036e6,0.0
FW,1,0,2,11,1.0,0,350000.0,252586.02000000014,97413.98,0.0,4.0775806000000043e6,0.0
FW,1,0,2,14,0.02,0,350000.0,253268.81000000006,96731.18999999999,0.0,4.0980643000000017e6,0.0
FW,1,0,2,17,1.0,0,350000.0,252959.47,97040.53,0.0,4.0887841e6,0.0
FW,1,0,2,20,1.0,0,350000.0,252030.97,97969.03000000001,0.0,4.0609291e6,0.0
FW,1,0,2,23,1.0,0,350000.0,253373.48000000024,96626.52,0.0,4.1012044000000074e6,0.0
FW,1,0,2,26,0.02,0,350000.0,252385.5800000002,97614.42,0.0,4.071567400000006e6,0.0
FW,1,0,2,29,1.0,0,350000.0,252799.65000000026,97200.34999999999,0.0,4.0839895000000075e6,0.0
FW,1,0,2,32,1.0,0,350000.0,252478.58000000007,97521.42000000001,0.0,4.0743574000000022e6,0.0
FW,1,0,2,35,1.0,0,350000.0,252342.98000000016,97657.02000000002,0.0,4.0702894000000046e6,0.0
FW,1,0,2,38,0.02,0,350000.0,252489.83000000005,97510.17000000001,0.0,4.0746949000000013e6,0.0
FW,1,0,2,41,1.0,0,350000.0,252461.2100000002,97538.79000000001,0.0,4.073836300000006e6,0.0
FW,1,0,2,44,1.0,0,350000.0,252993.79000000007,97006.21000000002,0.0,4.089813700000002e6,0.0
FW,1,0,2,47,1.0,0,350000.0,253005.66000000018,96994.34000000001,0.0,4.0901698000000054e6,0.0
FW,1,0,2,50,0.02,0,350000.0,252093.24000000017,97906.76,0.0,4.062797200000005e6,0.0
FW,1,0,2,53,1.0,0,350000.0,252347.7500000003,97652.25,0.0,4.070432500000009e6,0.0
FW,1,0,2,56,1.0,0,350000.0,252601.02000000008,97398.98000000003,0.0,4.0780306000000024e6,0.0
FW,1,0,2,59,1.0,0,350000.0,252940.03,97059.97000000002,0.0,4.0882009e6,0.0
