etapa,iter,miniIter,est,node,prob,ilha,Demanda,GT,GH,Deficit,CustoPresente,CustoFuturo
FW,15,0,1,1,1.0,0,300000.0,216733.64153677569,83266.3584632243,0.0,3.00200924610327e6,3.215663399167583e8
FW,15,0,2,2,0.02,0,350000.0,252136.50146923363,97863.49853076652,0.0,4.0640950440770085e6,9.455977418322684e6
FW,15,0,2,5,1.0,0,350000.0,251847.9000000001,98152.1,0.0,4.0554370000000033e6,189234.0556898862
FW,15,0,2,8,1.0,0,350000.0,253574.24215035155,96425.7578496485,0.0,4.1072272645105463e6,4.095863023904362e6
FW,15,0,2,11,1.0,0,350000.0,252880.8500000001,97119.15,0.0,4.086425500000003e6,9.450417162789961e6
FW,15,0,2,14,0.02,0,350000.0,253903.52057789252,96096.47942210763,0.0,4.117105617336775e6,9.541561587852707e6
FW,15,0,2,17,1.0,0,350000.0,252539.59000000014,97460.41,0.0,4.0761877000000044e6,189963.6142557958
FW,15,0,2,20,1.0,0,350000.0,252197.94964927406,97802.05035072599,0.0,4.0659384894782216e6,4.0650266870821374e6
FW,15,0,2,23,1.0,0,350000.0,253912.6117467753,96087.38825322501,0.0,4.117378352403259e6,9.429313489099815e6
FW,15,0,2,26,0.02,0,350000.0,252746.13665346435,97253.8633465359,0.0,4.0823840996039305e6,1.0223919698912598e7
FW,15,0,2,29,1.0,0,350000.0,252371.0800000001,97628.91999999998,0.0,4.071132400000003e6,190011.57625580297
FW,15,0,2,32,1.0,0,350000.0,253097.87654820603,96902.12345179415,0.0,4.092936296446181e6,4.079335440096828e6
FW,15,0,2,35,1.0,0,350000.0,252882.70000000016,97117.29999999999,0.0,4.0864810000000047e6,9.445416472790087e6
FW,15,0,2,38,0.02,0,350000.0,252358.48891285714,97641.51108714308,0.0,4.070754667385714e6,9.458581105014186e6
FW,15,0,2,41,1.0,0,350000.0,251952.11000000022,98047.89000000001,0.0,4.0585633000000063e6,189534.18745579617
FW,15,0,2,44,1.0,0,350000.0,253688.23123908965,96311.7687609103,0.0,4.1106469371726895e6,4.1484485929292454e6
FW,15,0,2,47,1.0,0,350000.0,253276.76860059454,96723.23139940557,0.0,4.0983030580178364e6,1.1360042344380228e7
FW,15,0,2,50,0.02,0,350000.0,252328.68823938357,97671.31176061642,0.0,4.069860647181507e6,9.453322080739176e6
FW,15,0,2,53,1.0,0,350000.0,251858.1500000002,98141.85,0.0,4.055744500000006e6,190068.7316135564
FW,15,0,2,56,1.0,0,350000.0,253224.95739191075,96775.04260808935,0.0,4.0967487217573225e6,4.075212030951352e6
FW,15,0,2,59,1.0,0,350000.0,253069.349176584,96930.65082341596,0.0,4.09208047529752e6,9.489827385969725e6
FW,15,0,2,62,0.02,0,350000.0,253652.54679595807,96347.45320404199,0.0,4.1095764038787424e6,9.48020027528299e6
