iter,ZINF,ZSUP
1,2.7550447000000007e6,6.170605892140018e8
2,2.458699407417179e8,4.618348044719996e8
3,2.4600362398050958e8,3.5080802083869135e8
4,2.685063298447441e8,4.094323004727887e8
5,2.7611865731929064e8,3.740484759740307e8
6,2.769165994521954e8,3.434177241761945e8
7,2.9249303432732195e8,4.260631642066815e8
8,2.9249966980247307e8,3.739373772946621e8
9,2.9255784107399267e8,3.369441383138864e8
10,3.100643174487895e8,3.533108959095038e8
11,3.107150454257617e8,3.2916455970442486e8
12,3.2453163299213773e8,4.325795377818411e8
13,3.2453167118665975e8,3.742365712016632e8
14,3.2453608142476517e8,3.6248381875021714e8
15,3.245683491628616e8,3.573523624723575e8
