NO,PROBABILIDADE
1,1.0
2,0.034
3,1.0
4,1.0
5,0.02
6,1.0
7,1.0
8,0.02
9,1.0
10,1.0
11,0.057
12,1.0
13,1.0
14,0.034
15,1.0
16,1.0
17,0.033
18,1.0
19,1.0
20,0.035
21,1.0
22,1.0
23,0.021
24,1.0
25,1.0
26,0.02
27,1.0
28,1.0
29,0.056
30,1.0
31,1.0
32,0.033
33,1.0
34,1.0
35,0.033
36,1.0
37,1.0
38,0.094
39,1.0
40,1.0
41,0.056
42,1.0
43,1.0
44,0.055
45,1.0
46,1.0
47,0.057
48,1.0
49,1.0
50,0.034
51,1.0
52,1.0
53,0.034
54,1.0
55,1.0
56,0.034
57,1.0
58,1.0
59,0.02
60,1.0
61,1.0
62,0.02
63,1.0
64,1.0
65,0.057
66,1.0
67,1.0
68,0.034
69,1.0
70,1.0
71,0.033
72,1.0
73,1.0
74,0.035
75,1.0
76,1.0
77,0.021
78,1.0
79,1.0
80,0.02
81,1.0
82,1.0
