NOME_UHE,NO,VAZAO
1,1,0
1,2,94
1,3,159
1,4,108
1,5,95
1,6,164
1,7,108
1,8,95
1,9,158
1,10,100
1,11,92
1,12,141
1,13,98
1,14,88
1,15,131
1,16,88
1,17,101
1,18,148
1,19,99
1,20,102
1,21,173
1,22,108
1,23,86
1,24,132
1,25,85
1,26,97
1,27,165
1,28,111
1,29,96
1,30,160
1,31,106
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
2,15,0
2,16,0
2,17,0
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,30,0
2,31,0
6,1,0
6,2,405
6,3,637
6,4,518
6,5,386
6,6,620
6,7,530
6,8,381
6,9,600
6,10,534
6,11,390
6,12,559
6,13,521
6,14,409
6,15,684
6,16,559
6,17,364
6,18,643
6,19,577
6,20,402
6,21,869
6,22,602
6,23,413
6,24,722
6,25,563
6,26,409
6,27,694
6,28,539
6,29,377
6,30,562
6,31,512
7,1,0
7,2,99
7,3,149
7,4,144
7,5,94
7,6,149
7,7,150
7,8,77
7,9,114
7,10,128
7,11,95
7,12,139
7,13,137
7,14,100
7,15,143
7,16,153
7,17,87
7,18,109
7,19,125
7,20,92
7,21,128
7,22,145
7,23,95
7,24,124
7,25,142
7,26,107
7,27,163
7,28,155
7,29,92
7,30,150
7,31,149
8,1,0
8,2,22
8,3,30
8,4,37
8,5,21
8,6,31
8,7,38
8,8,18
8,9,23
8,10,33
8,11,22
8,12,29
8,13,36
8,14,22
8,15,30
8,16,40
8,17,20
8,18,21
8,19,32
8,20,21
8,21,26
8,22,38
8,23,22
8,24,25
8,25,37
8,26,24
8,27,34
8,28,40
8,29,21
8,30,31
8,31,38
9,1,0
9,2,9
9,3,10
9,4,18
9,5,9
9,6,9
9,7,19
9,8,7
9,9,6
9,10,17
9,11,9
9,12,8
9,13,18
9,14,10
9,15,8
9,16,20
9,17,8
9,18,5
9,19,17
9,20,9
9,21,7
9,22,19
9,23,9
9,24,6
9,25,19
9,26,10
9,27,10
9,28,20
9,29,9
9,30,9
9,31,19
10,1,0
10,2,28
10,3,33
10,4,47
10,5,26
10,6,34
10,7,48
10,8,22
10,9,23
10,10,42
10,11,26
10,12,31
10,13,45
10,14,27
10,15,31
10,16,50
10,17,25
10,18,22
10,19,43
10,20,25
10,21,27
10,22,49
10,23,26
10,24,26
10,25,48
10,26,29
10,27,37
10,28,51
10,29,25
10,30,34
10,31,48
11,1,0
11,2,62
11,3,89
11,4,90
11,5,58
11,6,90
11,7,94
11,8,49
11,9,69
11,10,81
11,11,60
11,12,83
11,13,86
11,14,62
11,15,86
11,16,97
11,17,54
11,18,66
11,19,79
11,20,58
11,21,77
11,22,90
11,23,59
11,24,73
11,25,90
11,26,67
11,27,98
11,28,98
11,29,57
11,30,90
11,31,94
12,1,0
12,2,98
12,3,174
12,4,172
12,5,99
12,6,181
12,7,178
12,8,85
12,9,169
12,10,164
12,11,95
12,12,172
12,13,168
12,14,105
12,15,192
12,16,199
12,17,88
12,18,137
12,19,146
12,20,102
12,21,179
12,22,182
12,23,102
12,24,194
12,25,194
12,26,99
12,27,185
12,28,180
12,29,94
12,30,177
12,31,172
14,1,0
14,2,38
14,3,57
14,4,42
14,5,35
14,6,54
14,7,41
14,8,36
14,9,58
14,10,51
14,11,38
14,12,57
14,13,43
14,14,41
14,15,57
14,16,47
14,17,34
14,18,52
14,19,41
14,20,35
14,21,52
14,22,39
14,23,42
14,24,58
14,25,47
14,26,40
14,27,60
14,28,44
14,29,34
14,30,54
14,31,44
15,1,0
15,2,24
15,3,36
15,4,27
15,5,22
15,6,35
15,7,27
15,8,22
15,9,37
15,10,33
15,11,24
15,12,35
15,13,28
15,14,26
15,15,37
15,16,30
15,17,22
15,18,32
15,19,27
15,20,22
15,21,33
15,22,26
15,23,27
15,24,36
15,25,31
15,26,26
15,27,37
15,28,29
15,29,22
15,30,35
15,31,29
16,1,0
16,2,1
16,3,1
16,4,2
16,5,0
16,6,1
16,7,2
16,8,1
16,9,1
16,10,1
16,11,1
16,12,1
16,13,1
16,14,1
16,15,1
16,16,2
16,17,0
16,18,1
16,19,1
16,20,0
16,21,1
16,22,1
16,23,0
16,24,1
16,25,1
16,26,0
16,27,1
16,28,1
16,29,0
16,30,1
16,31,1
17,1,0
17,2,262
17,3,471
17,4,560
17,5,265
17,6,470
17,7,569
17,8,261
17,9,464
17,10,565
17,11,261
17,12,466
17,13,548
17,14,240
17,15,431
17,16,524
17,17,256
17,18,436
17,19,544
17,20,260
17,21,446
17,22,568
17,23,243
17,24,432
17,25,532
17,26,256
17,27,461
17,28,551
17,29,264
17,30,467
17,31,566
18,1,0
18,2,235
18,3,298
18,4,500
18,5,239
18,6,295
18,7,484
18,8,232
18,9,277
18,10,401
18,11,231
18,12,295
