etapa,iter,miniIter,est,node,prob,nome,usina,generation,VI,AFL,TURB,VERT,VF
BK,1,0,2,2,0.2333,UHE1,1,20.0,0.0,20.0,20.0,0.0,0.0
BK,1,0,2,3,0.1666,UHE1,1,10.0,0.0,10.0,10.0,0.0,0.0
BK,1,0,2,4,0.2,UHE1,1,5.0,0.0,5.0,5.0,0.0,0.0
BK,1,0,2,5,0.2,UHE1,1,25.0,0.0,25.0,25.0,0.0,0.0
BK,1,0,2,6,0.2,UHE1,1,40.0,0.0,40.0,40.0,0.0,0.0
BK,1,0,1,1,1.0,UHE1,1,11.066772903544646,0.0,20.0,11.066772903544646,0.0,8.933227096455354
BK,2,0,2,2,0.2333,UHE1,1,28.933227096455354,8.933227096455354,20.0,28.933227096455354,0.0,0.0
BK,2,0,2,3,0.1666,UHE1,1,18.933227096455354,8.933227096455354,10.0,18.933227096455354,0.0,0.0
BK,2,0,2,4,0.2,UHE1,1,13.933227096455354,8.933227096455354,5.0,13.933227096455354,0.0,0.0
BK,2,0,2,5,0.2,UHE1,1,33.933227096455354,8.933227096455354,25.0,33.933227096455354,0.0,0.0
BK,2,0,2,6,0.2,UHE1,1,45.0,8.933227096455354,40.0,45.0,0.0,3.9332270964553544
BK,2,0,1,1,1.0,UHE1,1,7.925607178678893,0.0,20.0,7.925607178678893,0.0,12.074392821321105
BK,3,0,2,2,0.2333,UHE1,1,32.074392821321105,12.074392821321105,20.0,32.074392821321105,0.0,0.0
BK,3,0,2,3,0.1666,UHE1,1,22.074392821321105,12.074392821321105,10.0,22.074392821321105,0.0,0.0
BK,3,0,2,4,0.2,UHE1,1,17.074392821321105,12.074392821321105,5.0,17.074392821321105,0.0,0.0
BK,3,0,2,5,0.2,UHE1,1,37.074392821321105,12.074392821321105,25.0,37.074392821321105,0.0,0.0
BK,3,0,2,6,0.2,UHE1,1,45.0,12.074392821321105,40.0,45.0,0.0,7.074392821321105
BK,3,0,1,1,1.0,UHE1,1,9.999999999999998,0.0,20.0,9.999999999999998,0.0,10.000000000000002
