etapa,iter,miniIter,est,node,prob,nome,usina,generation,VI,AFL,TURB,VERT,VF
FW,15,0,1,1,1.0,211,211,52.849999999999994,304.0,151.0,151.0,0.0,304.0
FW,15,0,1,1,1.0,22,22,0.0,702.0,63.0,0.0,0.0,765.0
FW,15,0,1,1,1.0,251,251,0.0,2355.0,39.0,0.0,0.0,2394.0
FW,15,0,1,1,1.0,207,207,247.5,238.0,1.0,495.0,191.0,228.0
FW,15,0,1,1,1.0,28,28,225.54,878.0,3.0,537.0,152.0,878.0
FW,15,0,1,1,1.0,205,205,0.0,3114.0,84.0,0.0,0.0,3198.0
FW,15,0,1,1,1.0,48,48,83.26,84.0,5.0,362.0,679.3442038298127,84.0
FW,15,0,1,1,1.0,66,66,13657.800000000001,27695.0,8973.0,13260.0,19284.0,29403.0
FW,15,0,1,1,1.0,131,131,378.71999999999997,38.0,180.0,144.0,423.0,38.0
FW,15,0,1,1,1.0,303,303,129.03,445.0,32.0,51.0,0.0,445.0
FW,15,0,1,1,1.0,141,141,74.80000000000001,31.0,233.0,440.00000000000006,-5.684341886080802e-14,38.0
FW,15,0,1,1,1.0,154,154,31.799999999999997,116.0,121.0,106.0,0.0,131.0
FW,15,0,1,1,1.0,155,155,0.0,222.0,120.0,0.0,142.0,200.0
FW,15,0,1,1,1.0,156,156,0.0,12961.0,641.0,0.0,9920.0,4250.0
FW,15,0,1,1,1.0,158,158,0.0,223.0,27.0,0.0,155.0,95.0
FW,15,0,1,1,1.0,295,295,86.49000000000001,16.0,94.0,93.0,0.0,17.0
FW,15,0,1,1,1.0,296,296,80.08,21.0,52.0,52.0,0.0,21.0
FW,15,0,1,1,1.0,23,23,0.0,768.0,26.0,0.0,0.0,794.0
FW,15,0,1,1,1.0,227,227,384.0,2040.0,881.0,1600.0,46.0,1275.0
FW,15,0,1,1,1.0,228,228,310.2,1525.0,62.0,1550.9999999999998,157.00000000000023,1525.0
FW,15,0,1,1,1.0,229,229,1891.3999999999999,897.0,2152.0,3860.0,0.0,897.0
FW,15,0,1,1,1.0,230,230,833.3599999999999,577.0,7.0,3787.9999999999995,79.00000000000045,577.0
FW,15,0,1,1,1.0,241,241,61.42,264.0,9.0,166.0,0.0,264.0
FW,15,0,1,1,1.0,249,249,43.74,20.0,2.0,486.00000000000006,1353.3442038298126,20.0
FW,15,0,1,1,1.0,270,270,0.0,18550.0,706.0,0.0,0.0,19256.0
