etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
BK,1,0,4,4,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,4,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,4,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,7,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,7,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,7,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,10,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,10,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,10,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,13,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,13,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,13,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,16,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,16,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,16,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,19,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,19,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,19,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,22,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,22,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,22,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,25,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,25,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,25,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,28,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,28,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,28,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,31,1.0,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,31,1.0,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,31,1.0,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,34,0.02,ANGRA1,1,150000.0,10.0,1.5e6
BK,1,0,4,34,0.02,ANGRA2,2,50000.0,20.0,1.0e6
BK,1,0,4,34,0.02,ANGRA3,3,100000.0,30.0,3.0e6
BK,1,0,4,37,1.0,ANGRA1,1,150000.0,10.0,1.5e6
