etapa,iter,miniIter,est,node,prob,nome,usina,generation,custo,custoTotal
FW,1,0,1,1,1.0,ANGRA1,1,-0.0,10.0,-0.0
FW,1,0,1,1,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,1,1,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,1,0,2,2,0.1,ANGRA1,1,14720.7,10.0,147207.0
FW,1,0,2,2,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,2,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,5,0.1,ANGRA1,1,19839.7,10.0,198397.0
FW,1,0,2,5,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,5,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,8,0.1,ANGRA1,1,20782.7,10.0,207827.0
FW,1,0,2,8,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,8,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,11,0.1,ANGRA1,1,19776.7,10.0,197767.0
FW,1,0,2,11,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,11,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,14,0.1,ANGRA1,1,23670.7,10.0,236707.0
FW,1,0,2,14,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,14,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,17,0.1,ANGRA1,1,13118.7,10.0,131187.0
FW,1,0,2,17,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,17,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,20,0.1,ANGRA1,1,14591.7,10.0,145917.0
FW,1,0,2,20,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,20,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,23,0.1,ANGRA1,1,18406.7,10.0,184067.0
FW,1,0,2,23,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,23,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,26,0.1,ANGRA1,1,17995.7,10.0,179957.0
FW,1,0,2,26,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,26,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,2,29,0.1,ANGRA1,1,11938.7,10.0,119387.0
FW,1,0,2,29,0.1,ANGRA2,2,0.0,20.0,0.0
FW,1,0,2,29,0.1,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,3,1.0,ANGRA1,1,74564.4,10.0,745644.0
FW,1,0,3,3,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,3,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,6,1.0,ANGRA1,1,98096.4,10.0,980964.0
FW,1,0,3,6,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,6,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,9,1.0,ANGRA1,1,98612.4,10.0,986124.0
FW,1,0,3,9,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,9,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,12,1.0,ANGRA1,1,91460.4,10.0,914604.0
FW,1,0,3,12,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,12,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,15,1.0,ANGRA1,1,89035.4,10.0,890354.0
FW,1,0,3,15,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,15,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,18,1.0,ANGRA1,1,77880.4,10.0,778804.0
FW,1,0,3,18,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,18,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,21,1.0,ANGRA1,1,76911.4,10.0,769114.0
FW,1,0,3,21,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,21,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,24,1.0,ANGRA1,1,83327.4,10.0,833274.0
FW,1,0,3,24,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,24,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,27,1.0,ANGRA1,1,70744.4,10.0,707444.0
FW,1,0,3,27,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,27,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,3,30,1.0,ANGRA1,1,74672.4,10.0,746724.0
FW,1,0,3,30,1.0,ANGRA2,2,0.0,20.0,0.0
FW,1,0,3,30,1.0,ANGRA3,3,0.0,30.0,0.0
FW,1,0,4,4,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,4,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,4,1.0,ANGRA3,3,92305.0,30.0,2.76915e6
FW,1,0,4,7,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,7,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,7,1.0,ANGRA3,3,100000.0,30.0,3.0e6
FW,1,0,4,10,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,10,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,10,1.0,ANGRA3,3,99291.0,30.0,2.97873e6
FW,1,0,4,13,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,13,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,13,1.0,ANGRA3,3,98260.0,30.0,2.9478e6
FW,1,0,4,16,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,16,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,16,1.0,ANGRA3,3,95923.0,30.0,2.87769e6
FW,1,0,4,19,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,19,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,19,1.0,ANGRA3,3,81715.0,30.0,2.45145e6
FW,1,0,4,22,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,22,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,22,1.0,ANGRA3,3,90053.0,30.0,2.70159e6
FW,1,0,4,25,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,25,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,25,1.0,ANGRA3,3,88995.0,30.0,2.66985e6
FW,1,0,4,28,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,28,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,28,1.0,ANGRA3,3,84603.0,30.0,2.53809e6
FW,1,0,4,31,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,1,0,4,31,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,1,0,4,31,1.0,ANGRA3,3,86706.0,30.0,2.60118e6
FW,2,0,1,1,1.0,ANGRA1,1,0.0,10.0,0.0
FW,2,0,1,1,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,1,1,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,2,2,0.1,ANGRA1,1,148256.7,10.0,1.482567e6
FW,2,0,2,2,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,2,0.1,ANGRA3,3,0.0,30.0,0.0
FW,2,0,2,5,0.1,ANGRA1,1,132447.1,10.0,1.324471e6
FW,2,0,2,5,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,5,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,8,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,2,0,2,8,0.1,ANGRA2,2,35352.7,20.0,707054.0
FW,2,0,2,8,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,11,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,2,0,2,11,0.1,ANGRA2,2,26163.7,20.0,523274.0
FW,2,0,2,11,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,14,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,2,0,2,14,0.1,ANGRA2,2,25295.7,20.0,505914.0
FW,2,0,2,14,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,17,0.1,ANGRA1,1,139380.7,10.0,1.393807e6
FW,2,0,2,17,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,17,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,20,0.1,ANGRA1,1,148222.7,10.0,1.482227e6
FW,2,0,2,20,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,20,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,2,23,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,2,0,2,23,0.1,ANGRA2,2,7395.7,20.0,147914.0
FW,2,0,2,23,0.1,ANGRA3,3,0.0,30.0,0.0
FW,2,0,2,26,0.1,ANGRA1,1,140009.7,10.0,1.400097e6
FW,2,0,2,26,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,26,0.1,ANGRA3,3,0.0,30.0,0.0
FW,2,0,2,29,0.1,ANGRA1,1,139983.7,10.0,1.399837e6
FW,2,0,2,29,0.1,ANGRA2,2,0.0,20.0,0.0
FW,2,0,2,29,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,3,3,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,3,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,3,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,6,1.0,ANGRA1,1,-0.0,10.0,-0.0
FW,2,0,3,6,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,6,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,9,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,9,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,3,9,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,12,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,12,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,12,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,15,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,15,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,15,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,18,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,18,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,18,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,21,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,21,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,21,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,3,24,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,24,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,24,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,3,27,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,27,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,27,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,3,30,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,3,30,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,3,30,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,4,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,4,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,4,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,7,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,2,0,4,7,1.0,ANGRA2,2,50000.0,20.0,1.0e6
FW,2,0,4,7,1.0,ANGRA3,3,89000.0,30.0,2.67e6
FW,2,0,4,10,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,10,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,10,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,13,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,13,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,4,13,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,16,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,16,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,16,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,19,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,19,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,19,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,4,22,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,22,1.0,ANGRA2,2,0.0,20.0,0.0
FW,2,0,4,22,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,25,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,25,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,25,1.0,ANGRA3,3,0.0,30.0,0.0
FW,2,0,4,28,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,28,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,28,1.0,ANGRA3,3,-0.0,30.0,-0.0
FW,2,0,4,31,1.0,ANGRA1,1,116666.7,10.0,1.166667e6
FW,2,0,4,31,1.0,ANGRA2,2,-0.0,20.0,-0.0
FW,2,0,4,31,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,1,1,1.0,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,1,1,1.0,ANGRA2,2,0.0,20.0,0.0
FW,3,0,1,1,1.0,ANGRA3,3,0.0,30.0,0.0
FW,3,0,2,2,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,2,2,0.1,ANGRA2,2,0.0,20.0,0.0
FW,3,0,2,2,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,3,0,2,5,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,2,5,0.1,ANGRA2,2,50000.0,20.0,1.0e6
FW,3,0,2,5,0.1,ANGRA3,3,-0.0,30.0,-0.0
FW,3,0,2,8,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,2,8,0.1,ANGRA2,2,-0.0,20.0,-0.0
FW,3,0,2,8,0.1,ANGRA3,3,0.0,30.0,0.0
FW,3,0,2,11,0.1,ANGRA1,1,150000.0,10.0,1.5e6
FW,3,0,2,11,0.1,ANGRA2,2,-0.0,20.0,-0.0
