etapa,iter,est,node,prob,Submercado,nome,usina,generation,custo,custoTotal
FW,2,1,1,1.0,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,1,1,1.0,1,ANGRA2,2,500.0,20.0,10000.0
FW,2,1,1,1.0,1,ANGRA2,3,500.0,30.0,15000.0
FW,2,1,1,1.0,1,ANGRA2,4,500.0,40.0,20000.0
FW,2,2,2,0.034,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,2,0.034,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,2,0.034,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,2,0.034,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,5,0.02,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,5,0.02,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,5,0.02,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,5,0.02,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,8,0.02,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,8,0.02,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,8,0.02,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,8,0.02,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,11,0.057,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,11,0.057,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,11,0.057,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,11,0.057,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,14,0.034,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,14,0.034,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,14,0.034,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,14,0.034,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,17,0.033,1,ANGRA1,1,300.0,10.0,3000.0
FW,2,2,17,0.033,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,17,0.033,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,17,0.033,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,20,0.035,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,20,0.035,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,20,0.035,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,20,0.035,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,23,0.021,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,23,0.021,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,23,0.021,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,23,0.021,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,26,0.02,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,26,0.02,1,ANGRA2,2,0.0,20.0,0.0
FW,2,2,26,0.02,1,ANGRA2,3,0.0,30.0,0.0
FW,2,2,26,0.02,1,ANGRA2,4,0.0,40.0,0.0
FW,2,2,29,0.056,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,29,0.056,1,ANGRA2,2,95.3,20.0,1906.0
FW,2,2,29,0.056,1,ANGRA2,3,95.3,30.0,2859.0
FW,2,2,29,0.056,1,ANGRA2,4,95.3,40.0,3812.0
FW,2,2,32,0.033,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,32,0.033,1,ANGRA2,2,95.3,20.0,1906.0
FW,2,2,32,0.033,1,ANGRA2,3,95.3,30.0,2859.0
FW,2,2,32,0.033,1,ANGRA2,4,95.3,40.0,3812.0
FW,2,2,35,0.033,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,35,0.033,1,ANGRA2,2,95.3,20.0,1906.0
FW,2,2,35,0.033,1,ANGRA2,3,95.3,30.0,2859.0
FW,2,2,35,0.033,1,ANGRA2,4,95.3,40.0,3812.0
FW,2,2,38,0.094,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,38,0.094,1,ANGRA2,2,271.9,20.0,5438.0
FW,2,2,38,0.094,1,ANGRA2,3,271.9,30.0,8156.999999999999
FW,2,2,38,0.094,1,ANGRA2,4,271.9,40.0,10876.0
FW,2,2,41,0.056,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,41,0.056,1,ANGRA2,2,271.9,20.0,5438.0
FW,2,2,41,0.056,1,ANGRA2,3,271.9,30.0,8156.999999999999
FW,2,2,41,0.056,1,ANGRA2,4,271.9,40.0,10876.0
FW,2,2,44,0.055,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,44,0.055,1,ANGRA2,2,271.9,20.0,5438.0
FW,2,2,44,0.055,1,ANGRA2,3,271.9,30.0,8156.999999999999
FW,2,2,44,0.055,1,ANGRA2,4,271.9,40.0,10876.0
FW,2,2,47,0.057,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,47,0.057,1,ANGRA2,2,416.2,20.0,8324.0
FW,2,2,47,0.057,1,ANGRA2,3,416.2,30.0,12486.0
FW,2,2,47,0.057,1,ANGRA2,4,416.2,40.0,16648.0
FW,2,2,50,0.034,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,50,0.034,1,ANGRA2,2,416.2,20.0,8324.0
FW,2,2,50,0.034,1,ANGRA2,3,416.2,30.0,12486.0
FW,2,2,50,0.034,1,ANGRA2,4,416.2,40.0,16648.0
FW,2,2,53,0.034,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,53,0.034,1,ANGRA2,2,416.2,20.0,8324.0
FW,2,2,53,0.034,1,ANGRA2,3,416.2,30.0,12486.0
FW,2,2,53,0.034,1,ANGRA2,4,416.2,40.0,16648.0
FW,2,2,56,0.034,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,56,0.034,1,ANGRA2,2,264.7,20.0,5294.0
FW,2,2,56,0.034,1,ANGRA2,3,264.7,30.0,7941.0
FW,2,2,56,0.034,1,ANGRA2,4,264.7,40.0,10588.0
FW,2,2,59,0.02,1,ANGRA1,1,500.0,10.0,5000.0
FW,2,2,59,0.02,1,ANGRA2,2,264.7,20.0,5294.0
