etapa,iter,est,node,nome,usina,generation
FORWARD,1,1,1,ANGRA1,1,79.0
FORWARD,1,1,1,ANGRA2,2,50.0
FORWARD,1,2,2,ANGRA1,1,85.0
FORWARD,1,2,2,ANGRA2,2,50.0
FORWARD,1,3,3,ANGRA1,1,67.0
FORWARD,1,3,3,ANGRA2,2,50.0
FORWARD,1,4,4,ANGRA1,1,100.0
FORWARD,1,4,4,ANGRA2,2,50.0
FORWARD,1,5,5,ANGRA1,1,49.0
FORWARD,1,5,5,ANGRA2,2,50.0
FORWARD,2,1,1,ANGRA1,1,100.0
FORWARD,2,1,1,ANGRA2,2,50.0
FORWARD,2,2,2,ANGRA1,1,100.0
FORWARD,2,2,2,ANGRA2,2,50.0
FORWARD,2,3,3,ANGRA1,1,100.0
FORWARD,2,3,3,ANGRA2,2,50.0
FORWARD,2,4,4,ANGRA1,1,100.0
FORWARD,2,4,4,ANGRA2,2,50.0
FORWARD,2,5,5,ANGRA1,1,49.0
FORWARD,2,5,5,ANGRA2,2,50.0
